Nom;Activité;Adresse;Téléphone
Le Fournil de l'Hôtel de Ville;Boulangerie;4 Place de la République, 59280 Armentières;03 20 77 11 22
Boulangerie Patisserie Duquenoy;Boulangerie;145 Rue de Lille, 59280 Armentières;03 20 77 55 88
Au Pain d'Armentières;Boulangerie;80 Rue de Dunkerque;59280 Armentières;03 20 77 33 44
Boulangerie Saint-Roch;Boulangerie;12 Rue de la Gare, 59280 Armentières;03 20 77 88 11
La Mie Armentiéroise;Boulangerie;75 Rue de Lille, 59280 Armentières;03 20 77 66 55
Boucherie de la République;Boucherie;25 Place de la République, 59280 Armentières;03 20 77 22 77
Boucherie Centrale Armentiéroise;Boucherie;90 Rue de Lille, 59280 Armentières;03 20 77 44 99
Boucherie Charcuterie du Centre;Boucherie;15 Rue de Dunkerque, 59280 Armentières;03 20 77 77 33
Armentières Fleurs;Fleuriste;55 Rue de Dunkerque, 59280 Armentières;03 20 77 55 22
L'Art Floral;Fleuriste;14 Rue de Lille, 59280 Armentières;03 20 77 11 88
Au Jardin d'Armentières;Fleuriste;88 Boulevard de la Liberté, 59280 Armentières;03 20 77 88 33
Garage de la Lys;Garage Automobile;150 Avenue Aristide Briand, 59280 Armentières;03 20 77 33 55
Meca Armentières Service;Garage Automobile;44 Rue de Dunkerque, 59280 Armentières;03 20 77 66 22
Carrosserie de la Lys;Carrosserie;Zone Industrielle, 59280 Armentières;03 20 77 99 88
Auto Express 59;Garage Automobile;70 Rue de Lille, 59280 Armentières;03 20 77 44 77
Plomberie Armentiéroise;Plombier;59280 Armentières;03 20 77 11 44
Chauffage Lys Service;Chauffagiste;59280 Armentières;03 20 77 55 99
Artisan Plombier Armentières;Plombier;59280 Armentières;06 11 22 33 44
Électricité Générale de la Lys;Électricien;59280 Armentières;03 20 77 88 11
Elec Pro Armentières;Électricien;59280 Armentières;06 55 66 77 88
Coiffure de la Place;Coiffeur;30 Place de la République, 59280 Armentières;03 20 77 22 44
Salon de Lille;Coiffeur;115 Rue de Lille, 59280 Armentières;03 20 77 77 66
L'Atelier Beauté;Institut de Beauté;55 Rue de Dunkerque, 59280 Armentières;03 20 77 33 11
Cordonnerie de l'Hôtel de Ville;Cordonnier;90 Rue de Lille, 59280 Armentières;03 20 77 66 88
Pressing de la Lys;Pressing;18 Place de la République, 59280 Armentières;03 20 77 99 44
