Nom;Activité;Adresse;Téléphone
Le Fournil de la Place;Boulangerie;12 Place de la République, 51000 Châlons-en-Champagne;03 26 68 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue de la Marne, 51000 Châlons-en-Champagne;03 26 68 55 88
Au Pain Châlonnais;Boulangerie;80 Rue Jean Jaurès, 51000 Châlons-en-Champagne;03 26 21 33 44
Boulangerie Maes;Boulangerie;15 Place Godart, 51000 Châlons-en-Champagne;03 26 68 88 11
Boulangerie du Centre Châlons;Boulangerie;Rue Pasteur, 51000 Châlons-en-Champagne;03 26 68 44 66
Boucherie Centrale;Boucherie;25 Rue de la Marne, 51000 Châlons-en-Champagne;03 26 68 22 77
Boucherie du Marché;Boucherie;Place Godart, 51000 Châlons-en-Champagne;03 26 68 44 11
Boucherie Charcuterie Châlonnaise;Boucherie;Rue Jean Jaurès, 51000 Châlons-en-Champagne;03 26 21 77 99
Boucherie Traiteur du Palais;Boucherie;Rue du Palais de Justice, 51000 Châlons-en-Champagne;03 26 68 11 55
Châlons Fleurs;Fleuriste;110 Rue de la Marne, 51000 Châlons-en-Champagne;03 26 68 55 22
L'Orchidée Blanche;Fleuriste;Place de la République, 51000 Châlons-en-Champagne;03 26 68 11 66
Passion Fleurs;Fleuriste;Avenue du Général Sarrail, 51000 Châlons-en-Champagne;03 26 21 88 33
Au Jardin de Champagne;Fleuriste;Rue Pasteur, 51000 Châlons-en-Champagne;03 26 68 33 99
Garage de la Gare Châlons;Garage Automobile;Avenue de la Gare, 51000 Châlons-en-Champagne;03 26 68 33 55
Meca Châlons Service;Garage Automobile;Rue Saint-Lazare, 51000 Châlons-en-Champagne;03 26 21 66 22
Garage du Beffroi;Garage Automobile;Route de Vitry, 51000 Châlons-en-Champagne;03 26 68 99 88
Châlons Pneus Service;Garage Automobile;Avenue Jean Jaurès, 51000 Châlons-en-Champagne;03 26 21 44 77
Carrosserie Châlonnaise;Carrosserie;Zone Industrielle, 51000 Châlons-en-Champagne;03 26 68 11 88
Garage de la Victoire;Garage Automobile;Rue de la Victoire, 51000 Châlons-en-Champagne;03 26 68 22 55
Plomberie Châlonnaise;Plombier;51000 Châlons-en-Champagne;03 26 68 11 44
Chauffage Marne Service;Chauffagiste;51000 Châlons-en-Champagne;03 26 21 55 99
Artisan Plombier du secteur;Plombier;51000 Châlons-en-Champagne;06 11 22 33 44
Électricité Générale Châlons;Électricien;51000 Châlons-en-Champagne;03 26 68 88 11
