Nom;Activité;Adresse;Téléphone
Le Fournil de la Place Ducale;Boulangerie;Place Ducale, 08000 Charleville-Mézières;03 24 33 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue de la République, 08000 Charleville-Mézières;03 24 33 55 88
Au Pain Ardennais;Boulangerie;80 Avenue Jean Jaurès, 08000 Charleville-Mézières;03 24 57 33 44
Boulangerie Maes;Boulangerie;12 Rue de Mantoue, 08000 Charleville-Mézières;03 24 33 88 11
Boulangerie du Centre Mézières;Boulangerie;Avenue de Corbeil, 02000 Charleville-Mézières;03 24 33 44 66
Boucherie Centrale de la Place;Boucherie;25 Rue de la République, 08000 Charleville-Mézières;03 24 33 22 77
Boucherie du Marché;Boucherie;Place de l'Hôtel de Ville, 08000 Charleville-Mézières;03 24 33 44 11
Boucherie Charcuterie Ardennaise;Boucherie;Rue de l'Arquebuse, 08000 Charleville-Mézières;03 24 57 77 99
Boucherie Traiteur du Mail;Boucherie;Avenue du Maréchal Leclerc, 08000 Charleville-Mézières;03 24 33 11 55
Charleville Fleurs;Fleuriste;110 Rue de la République, 08000 Charleville-Mézières;03 24 33 55 22
L'Orchidée Ducale;Fleuriste;Place Ducale, 08000 Charleville-Mézières;03 24 33 11 66
Passion Fleurs;Fleuriste;Avenue Charles de Gaulle, 08000 Charleville-Mézières;03 24 57 88 33
Au Jardin de Rimbaud;Fleuriste;Rue de l'Église, 08000 Charleville-Mézières;03 24 33 33 99
Garage de la Gare Charleville;Garage Automobile;Avenue de la Gare, 08000 Charleville-Mézières;03 24 33 33 55
Meca Ardennes Service;Garage Automobile;Rue Saint-Lazare, 08000 Charleville-Mézières;03 24 57 66 22
Garage du Beffroi;Garage Automobile;Route de Sedan, 08000 Charleville-Mézières;03 24 33 99 88
Ardennes Pneus Service;Garage Automobile;Avenue Jean Jaurès, 03 24 57 44 77
Carrosserie Carolomacérienne;Carrosserie;Zone Industrielle, 08000 Charleville-Mézières;03 24 33 11 88
