Nom;Activité;Adresse;Téléphone
Le Fournil de la Vesle;Boulangerie;12 Place de l'Hôtel de Ville, 51170 Fismes;03 26 48 11 22
Boulangerie Patisserie Maes;Boulangerie;45 Rue de Soissons, 51170 Fismes;03 26 48 55 88
Au Pain de Fismes;Boulangerie;80 Rue de la République, 51170 Fismes;03 26 48 33 44
Boulangerie du Centre;Boulangerie;15 Rue de la Huchette, 51170 Fismes;03 26 48 88 11
Boulangerie de la Gare;Boulangerie;Avenue de la Gare, 51170 Fismes;03 26 48 44 66
Boucherie Centrale Fismoise;Boucherie;25 Place de la Mairie, 51170 Fismes;03 26 48 22 77
Boucherie du Marché;Boucherie;Place de l'Hôtel de Ville, 51170 Fismes;03 26 48 44 11
Boucherie Charcuterie Traiteur;Boucherie;Rue de la Huchette, 51170 Fismes;03 26 48 77 99
Boucherie de la République;Boucherie;Rue de la République, 51170 Fismes;03 26 48 11 55
Fismes Fleurs;Fleuriste;110 Rue de Soissons, 51170 Fismes;03 26 48 55 22
L'Orchidée Blanche;Fleuriste;Place de l'Hôtel de Ville, 51170 Fismes;03 26 48 11 66
Passion Fleurs Fismes;Fleuriste;Avenue de la Gare, 51170 Fismes;03 26 48 88 33
Au Jardin de la Vesle;Fleuriste;Rue de la République, 51170 Fismes;03 26 48 33 99
Garage de la Gare Fismes;Garage Automobile;Avenue de la Gare, 51170 Fismes;03 26 48 33 55
Meca Fismes Service;Garage Automobile;Rue Saint-Lazare, 51170 Fismes;03 26 48 66 22
Garage du Beffroi;Garage Automobile;Route de Soissons, 51170 Fismes;03 26 48 99 88
Fismes Pneus Service;Garage Automobile;Route de Reims, 51170 Fismes;03 26 48 44 77
Carrosserie Fismoise;Carrosserie;Zone Artisanale, 51170 Fismes;03 26 48 11 88
Garage de la République;Garage Automobile;Rue de la République, 51170 Fismes;03 26 48 22 55
Plomberie Fismoise;Plombier;51170 Fismes;03 26 48 11 44
Chauffage Marne Service;Chauffagiste;51170 Fismes;03 26 48 55 99
Artisan Plombier du secteur;Plombier;51170 Fismes;06 11 22 33 44
Électricité Générale Fismes;Électricien;51170 Fismes;03 26 48 88 11
Elec Pro Oise Services;Électricien;51170 Fismes;06 55 66 77 88
Coiffure Style Fismes;Coiffeur;30 Rue de Soissons, 51170 Fismes;03 26 48 22 44
Salon Espace Coiffure;Coiffeur;115 Rue de la République, 51170 Fismes;03 26 48 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 51170 Fismes;03 26 48 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Gare, 51170 Fismes;03 26 48 33 11
Institut Ongle Passion;Institut de Beauté;Place de la Mairie, 51170 Fismes;03 26 48 66 88
Cordonnerie de Fismes;Cordonnier;90 Rue de la République, 51170 Fismes;03 26 48 66 88
Pressing du Centre;Pressing;Place de l'Hôtel de Ville, 51170 Fismes;03 26 48 99 44
Laverie Fismoise;Pressing;Rue de la Huchette, 51170 Fismes;03 26 48 11 77
Friterie de la Place;Friterie;Place de l'Hôtel de Ville, 51170 Fismes;03 26 48 44 33
La Frite Fismoise;Friterie;Avenue de la Gare, 51170 Fismes;03 26 48 55 11
