Nom;Activité;Adresse;Téléphone
Boulangerie du Centre;Boulangerie;12 Rue Henri Barbusse, 80130 Friville-Escarbotin;03 22 30 11 22
Le Fournil de Friville;Boulangerie;Place Jean Jaurès, 80130 Friville-Escarbotin;03 22 30 55 88
Au Pain du Vimeu;Boulangerie;Rue d'Abbeville, 80130 Friville-Escarbotin;03 22 30 33 44
Boulangerie Patisserie Maes;Boulangerie;80 Rue du Général Leclerc, 80130 Friville-Escarbotin;03 22 30 88 11
Boucherie du Vimeu;Boucherie;25 Rue Henri Barbusse, 80130 Friville-Escarbotin;03 22 30 22 77
Boucherie Centrale;Boucherie;Place Jean Jaurès, 80130 Friville-Escarbotin;03 22 30 44 11
Boucherie Charcuterie Escarbotine;Boucherie;Rue du Maréchal Foch, 80130 Friville-Escarbotin;03 22 30 77 99
Boucherie Traiteur du Vimeu;Boucherie;Avenue du Parc, 80130 Friville-Escarbotin;03 22 30 11 55
Fleurs de Friville;Fleuriste;110 Rue Henri Barbusse, 80130 Friville-Escarbotin;03 22 30 55 22
L'Orchidée du Vimeu;Fleuriste;Place Jean Jaurès, 80130 Friville-Escarbotin;03 22 30 11 66
Passion Fleurs Friville;Fleuriste;Rue d'Abbeville, 80130 Friville-Escarbotin;03 22 30 88 33
Garage du Vimeu;Garage Automobile;Avenue du Parc, 80130 Friville-Escarbotin;03 22 30 33 55
Meca Friville Service;Garage Automobile;Rue du Maréchal Foch, 80130 Friville-Escarbotin;03 22 30 66 22
Garage des 3 Vallées;Garage Automobile;Route d'Eu, 80130 Friville-Escarbotin;03 22 30 99 88
Friville Pneus;Garage Automobile;Faubourg d'Abbeville, 80130 Friville-Escarbotin;03 22 30 44 77
Carrosserie du Vimeu;Carrosserie;Zone Industrielle, 80130 Friville-Escarbotin;03 22 30 11 88
Plomberie Vimeusienne;Plombier;80130 Friville-Escarbotin;03 22 30 11 44
Chauffage Vimeu Service;Chauffagiste;80130 Friville-Escarbotin;03 22 30 55 99
Artisan Plombier Friville;Plombier;80130 Friville-Escarbotin;06 11 22 33 44
Électricité Générale du Vimeu;Électricien;80130 Friville-Escarbotin;03 22 30 88 11
Elec Pro Friville Services;Électricien;80130 Friville-Escarbotin;06 55 66 77 88
