Nom;Activité;Adresse;Téléphone
Le Fournil de la Pointe;Boulangerie;12 Rue Thiers, 08600 Givet;03 24 42 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue Gambetta, 08600 Givet;03 24 42 55 88
Au Pain de Givet;Boulangerie;80 Avenue du Président Wilson, 08600 Givet;03 24 42 33 44
Boulangerie Maes;Boulangerie;15 Place de la République, 08600 Givet;03 24 42 88 11
Boulangerie du Centre Givet;Boulangerie;Quai des Fours, 08600 Givet;03 24 42 44 66
Boucherie Centrale Givetnoise;Boucherie;25 Rue Thiers, 08600 Givet;03 24 42 22 77
Boucherie du Marché;Boucherie;Place de l'Hôtel de Ville, 08600 Givet;03 24 42 44 11
Boucherie Charcuterie de la Meuse;Boucherie;Rue Gambetta, 08600 Givet;03 24 42 77 99
Boucherie Traiteur du Fort;Boucherie;Avenue de la Gare, 08600 Givet;03 24 42 11 55
Givet Fleurs;Fleuriste;110 Rue Thiers, 08600 Givet;03 24 42 55 22
L'Orchidée de la Pointe;Fleuriste;Place de la République, 08600 Givet;03 24 42 11 66
Passion Fleurs Givet;Fleuriste;Avenue du Président Wilson, 08600 Givet;03 24 42 88 33
Au Jardin de Givet;Fleuriste;Quai des Fours, 08600 Givet;03 24 42 33 99
Garage de la Gare Givet;Garage Automobile;Avenue de la Gare, 08600 Givet;03 24 42 33 55
Meca Givet Service;Garage Automobile;Rue du Faubourg, 08600 Givet;03 24 42 66 22
Garage du Fort;Garage Automobile;Route de Beauraing, 08600 Givet;03 24 42 99 88
Givet Pneus Service;Garage Automobile;Avenue de l'Europe, 08600 Givet;03 24 42 44 77
Carrosserie Givetnoise;Carrosserie;Zone Industrielle, 08600 Givet;03 24 42 11 88
Garage de la Victoire;Garage Automobile;Rue de la Victoire, 08600 Givet;03 24 42 22 55
Plomberie Givetnoise;Plombier;08600 Givet;03 24 42 11 44
Chauffage Meuse Service;Chauffagiste;08600 Givet;03 24 42 55 99
Artisan Plombier du secteur;Plombier;08600 Givet;06 11 22 33 44
Électricité Générale Givet;Électricien;08600 Givet;03 24 42 88 11
Elec Pro Ardennes Services;Électricien;08600 Givet;06 55 66 77 88
Coiffure Style Givet;Coiffeur;30 Rue Thiers, 08600 Givet;03 24 42 22 44
Salon Espace Coiffure;Coiffeur;115 Avenue du Président Wilson, 08600 Givet;03 24 42 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 08600 Givet;03 24 42 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Gare, 08600 Givet;03 24 42 33 11
Institut Ongle Passion Givet;Institut de Beauté;Place de la République, 08600 Givet;03 24 42 66 88
Cordonnerie de Givet;Cordonnier;90 Rue Gambetta, 08600 Givet;03 24 42 66 88
Pressing du Centre;Pressing;Place de la République, 08600 Givet;03 24 42 99 44
Laverie Givetnoise;Pressing;Rue Thiers, 08600 Givet;03 24 42 11 77
Friterie de la Place;Friterie;Place de la République, 08600 Givet;03 24 42 44 33
La Frite Ardennaise;Friterie;Avenue de la Gare, 08600 Givet;03 24 42 55 11
Le Café du Marché;Bar/Café;Place de l'Hôtel de Ville, 08600 Givet;03 24 42 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 08600 Givet;03 24 42 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 08600 Givet;03 24 42 44 66
Menuiserie Givetnoise;Menuisier;08600 Givet;03 24 42 77 22
L'Artisan du Bois;Menuisier;08600 Givet;03 24 42 33 77
Peinture Déco Ardennes;Peintre;08600 Givet;03 24 42 66 44
Artisan Peintre du secteur;Peintre;08600 Givet;03 24 42 11 33
Toiture Givetnoise;Couvreur;08600 Givet;03 24 42 99 55
Couverture du secteur;Couvreur;08600 Givet;03 24 42 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 08600 Givet;03 24 42 44 66
Taxi Givet Pro;Taxi;08600 Givet;03 24 42 88 88
Ambulances de la Pointe;Ambulance;08600 Givet;03 24 42 77 88
Pompes Funèbres Générales Givet;Pompes Funèbres;08600 Givet;03 24 42 10 10
Boulangerie de Rancennes;Boulangerie;08600 Rancennes;03 24 42 11 22
Garage de Rancennes;Garage Automobile;08600 Rancennes;03 24 42 88 44
Boulangerie de Fromelennes;Boulangerie;08600 Fromelennes;03 24 42 11 33
Garage de Fromelennes;Garage Automobile;08600 Fromelennes;03 24 42 88 22
Boulangerie d'Aubrives;Boulangerie;08320 Aubrives;03 24 42 11 44
Garage d'Aubrives;Garage Automobile;08320 Aubrives;03 24 42 88 22
Auberge de Ham;Restaurant;08600 Ham-sur-Meuse;03 24 42 55 88
Garage de Ham;Garage Automobile;08600 Ham-sur-Meuse;03 24 42 88 44
Boulangerie de Chooz;Boulangerie;08600 Chooz;03 24 42 11 66
Garage de Chooz;Garage Automobile;08600 Chooz;03 24 42 88 11
Boulangerie de Vireux;Boulangerie;08320 Vireux-Wallerand;03 24 41 11 22
Boucherie de Vireux;Boucherie;08320 Vireux-Wallerand;03 24 41 55 88
Garage de Vireux;Garage Automobile;08320 Vireux-Wallerand;03 24 41 88 44
Coiffure de Vireux;Coiffeur;08320 Vireux-Wallerand;03 24 41 33 11
Plomberie de Vireux;Plombier;08320 Vireux-Wallerand;03 24 41 66 55
Boucherie de Vireux-Molhain;Boucherie;08320 Vireux-Molhain;03 24 41 11 33
Garage de Vireux-Molhain;Garage Automobile;08320 Vireux-Molhain;03 24 41 88 22
Optique Givetnois;Opticien;Rue Thiers, 08600 Givet;03 24 42 22 55
Pharmacie Centrale Givet;Pharmacie;Place de la République, 08600 Givet;03 24 42 33 22
Pharmacie de la Gare;Pharmacie;Avenue de la Gare, 08600 Givet;03 24 42 33 88
Pharmacie de Vireux;Pharmacie;Rue de la République, 08320 Vireux;03 24 41 11 33
Institut Océane Givet;Institut de Beauté;Avenue du Président Wilson, 08600 Givet;03 24 42 12 34
Salon Création Coiffure;Coiffeur;Rue Gambetta, 08600 Givet;03 24 42 78 90
Cordonnerie de la Mairie;Cordonnier;Place de la Mairie, 08600 Givet;03 24 42 56 78
Pressing Givet Pro;Pressing;Rue Thiers, 08600 Givet;03 24 42 90 12
Laverie de Rancennes;Pressing;Rancennes;03 24 42 34 56
Mercerie Givetnoise;Mercerie;Avenue du Président Wilson, 08600 Givet;03 24 42 55 77
Retouche Givet;Couturier;Rue Gambetta, 08600 Givet;03 24 42 88 44
Antiquités de la Pointe;Antiquaire;Givet;03 24 42 33 66
