Nom;Activité;Adresse;Téléphone
Le Fournil de Guise;Boulangerie;14 Place d'Armes, 02120 Guise;03 23 61 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue Camille Desmoulins, 02120 Guise;03 23 61 55 88
Au Pain Doré;Boulangerie;80 Rue de la République, 02120 Guise;03 23 61 33 44
Boulangerie Maes;Boulangerie;12 Rue du Familistère, 02120 Guise;03 23 61 88 11
Boulangerie du Centre Guise;Boulangerie;Place d'Armes, 02120 Guise;03 23 61 44 66
Boucherie Centrale;Boucherie;25 Rue Camille Desmoulins, 02120 Guise;03 23 61 22 77
Boucherie de l'Hôtel de Ville;Boucherie;Place d'Armes, 02120 Guise;03 23 61 44 11
Boucherie Charcuterie Guisarde;Boucherie;Rue de la République, 02120 Guise;03 23 61 77 99
Boucherie Traiteur du Palais;Boucherie;Rue du Palais, 02120 Guise;03 23 61 11 55
Guise Fleurs;Fleuriste;110 Rue Camille Desmoulins, 02120 Guise;03 23 61 55 22
L'Orchidée Guisarde;Fleuriste;Place d'Armes, 02120 Guise;03 23 61 11 66
Passion Fleurs;Fleuriste;Avenue du Familistère, 02120 Guise;03 23 61 88 33
Au Jardin de Guise;Fleuriste;Rue de la République, 02120 Guise;03 23 61 33 99
Garage de la Vallée;Garage Automobile;Avenue de la République, 02120 Guise;03 23 61 33 55
Meca Guise Service;Garage Automobile;Route de Vervins, 02120 Guise;03 23 61 66 22
Garage du Familistère;Garage Automobile;Rue du Familistère, 02120 Guise;03 23 61 99 88
Guise Pneus Service;Garage Automobile;Route de Saint-Quentin, 02120 Guise;03 23 61 44 77
Carrosserie Guisarde;Carrosserie;Zone Industrielle, 02120 Guise;03 23 61 11 88
Garage de la Place;Garage Automobile;Place d'Armes, 02120 Guise;03 23 61 22 55
Plomberie Guisarde;Plombier;02120 Guise;03 23 61 11 44
Chauffage Aisne Service;Chauffagiste;02120 Guise;03 23 61 55 99
Artisan Plombier du secteur;Plombier;02120 Guise;06 11 22 33 44
Électricité Générale Guise;Électricien;02120 Guise;03 23 61 88 11
Elec Pro Aisne Services;Électricien;02120 Guise;06 55 66 77 88
Coiffure Style Guise;Coiffeur;30 Rue Camille Desmoulins, 02120 Guise;03 23 61 22 44
Salon Espace Coiffure;Coiffeur;115 Rue Camille Desmoulins, 02120 Guise;03 23 61 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 02120 Guise;03 23 61 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la République, 02120 Guise;03 23 61 33 11
Institut Ongle Passion;Institut de Beauté;Place d'Armes, 02120 Guise;03 23 61 66 88
Cordonnerie de Guise;Cordonnier;90 Rue Camille Desmoulins, 02120 Guise;03 23 61 66 88
Pressing du Centre;Pressing;Place d'Armes, 02120 Guise;03 23 61 99 44
Laverie Guisarde;Pressing;Rue Camille Desmoulins, 02120 Guise;03 23 61 11 77
Friterie de la Place;Friterie;Place d'Armes, 02120 Guise;03 23 61 44 33
La Frite Guisarde;Friterie;Avenue du Familistère, 02120 Guise;03 23 61 55 11
Le Café du Commerce;Bar/Café;Place d'Armes, 02120 Guise;03 23 61 11 88
Brasserie de la Mairie;Brasserie;Place d'Armes, 02120 Guise;03 23 61 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 02120 Guise;03 23 61 44 66
Menuiserie Guisarde;Menuisier;02120 Guise;03 23 61 77 22
L'Artisan du Bois;Menuisier;02120 Guise;03 23 61 33 77
Peinture Déco Aisne;Peintre;02120 Guise;03 23 61 66 44
Artisan Peintre du secteur;Peintre;02120 Guise;03 23 61 11 33
Toiture Guisarde;Couvreur;02120 Guise;03 23 61 99 55
Couverture du secteur;Couvreur;02120 Guise;03 23 61 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 02120 Guise;03 23 61 44 66
Taxi Guisard;Taxi;02120 Guise;03 23 61 88 88
Ambulances de la Vallée;Ambulance;02120 Guise;03 23 61 77 88
Pompes Funèbres Générales Guise;Pompes Funèbres;02120 Guise;03 23 61 10 10
Boulangerie de Flavigny;Boulangerie;02120 Flavigny-le-Grand-et-Beaurain;03 23 61 11 22
Garage de Flavigny;Garage Automobile;02120 Flavigny-le-Grand-et-Beaurain;03 23 61 88 44
Boulangerie de Wiege;Boulangerie;02120 Wiege-Faty;03 23 61 11 33
Garage de Wiege;Garage Automobile;02120 Wiege-Faty;03 23 61 88 22
Boulangerie de Bernot;Boulangerie;02120 Bernot;03 23 61 11 44
Garage de Bernot;Garage Automobile;02120 Bernot;03 23 61 88 22
Auberge de Vadencourt;Restaurant;02120 Vadencourt;03 23 61 55 88
Garage de Vadencourt;Garage Automobile;02120 Vadencourt;03 23 61 88 44
Boulangerie de Lesquielles;Boulangerie;02120 Lesquielles-Saint-Germain;03 23 61 11 66
Garage de Lesquielles;Garage Automobile;02120 Lesquielles-Saint-Germain;03 23 61 88 11
Optique Guisard;Opticien;Rue Camille Desmoulins, 02120 Guise;03 23 61 22 55
Pharmacie Centrale Guise;Pharmacie;Place d'Armes, 02120 Guise;03 23 61 33 22
Pharmacie de la Mairie;Pharmacie;Place d'Armes, 02120 Guise;03 23 61 33 88
Institut Océane Guise;Institut de Beauté;Avenue de la République, 02120 Guise;03 23 61 12 34
Salon Création Coiffure;Coiffeur;Rue Camille Desmoulins, 02120 Guise;03 23 61 78 90
Cordonnerie de la Gare;Cordonnier;Avenue de la Gare, 02120 Guise;03 23 61 56 78
Pressing Guise Pro;Pressing;Rue Camille Desmoulins, 02120 Guise;03 23 61 90 12
Laverie de Flavigny;Pressing;Flavigny;03 23 61 34 56
Mercerie Guisarde;Mercerie;Avenue de la République, 02120 Guise;03 23 61 55 77
Retouche Guise;Couturier;Rue de la République, 02120 Guise;03 23 61 88 44
Antiquités du secteur;Antiquaire;Guise;03 23 61 33 66
Librairie de la Mairie;Librairie;Place d'Armes, 02120 Guise;03 23 61 22 33
Dépannage Élec Guise;Électricien;02120 Guise;06 11 33 44 55
Chauffagiste Aisne Pro;Chauffagiste;02120 Guise;03 23 61 11 11
Toiture Guise Pro;Couvreur;02120 Guise;03 23 61 11 11
Peintre Guisard;Peintre;02120 Flavigny;03 23 61 11 11
Menuiserie du secteur;Menuisier;02120 Wiege-Faty;03 23 61 11 11
Poissonnerie du Marché;Poissonnerie;Place d'Armes, 02120 Guise;03 23 61 11 11
Taxi de Flavigny;Taxi;02120 Flavigny;03 23 61 20 20
Taxi de Lesquielles;Taxi;02120 Lesquielles;03 23 61 20 30
Ambulances de l'Aisne;Ambulance;02120 Guise;03 23 61 88 88
PFG Guise;Pompes Funèbres;02120 Guise;03 23 61 10 10
Café des Sports Wiege;Bar;02120 Wiege-Faty;03 23 61 22 11
Brasserie de la Fontaine;Brasserie;02120 Vadencourt;03 23 61 77 44
Coiffure de Bernot;Coiffeur;02120 Bernot;03 23 61 90 12
Boucherie de Vadencourt;Boucherie;02120 Vadencourt;03 23 61 34 56
Le Relais du Familistère;Restaurant;Guise;03 23 61 44 55
L'Estaminet Guisard;Restaurant;Guise;03 23 61 66 77
