Nom;Activité;Adresse;Téléphone
Le Fournil de Jarny;Boulangerie;12 Rue Jean Jaurès, 54800 Jarny;03 82 33 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Avenue de la République, 54800 Jarny;03 82 33 55 88
Au Pain Jarnysien;Boulangerie;80 Avenue Patton, 54800 Jarny;03 82 20 33 44
Boulangerie Maes;Boulangerie;15 Place de la Liberté, 54800 Jarny;03 82 33 88 11
Boulangerie du Centre;Boulangerie;Rue de l'Hôtel de Ville, 54800 Jarny;03 82 33 44 66
Boucherie Centrale Jarnysienne;Boucherie;25 Avenue de la République, 54800 Jarny;03 82 33 22 77
Boucherie du Marché;Boucherie;Place de la Mairie, 54800 Jarny;03 82 33 44 11
Boucherie Charcuterie Traiteur;Boucherie;Rue Jean Jaurès, 54800 Jarny;03 82 20 77 99
Boucherie Halal du Bassin;Boucherie;Avenue de la Libération, 54800 Jarny;03 82 33 11 55
Jarny Fleurs;Fleuriste;110 Avenue de la République, 54800 Jarny;03 82 33 55 22
L'Orchidée Blanche;Fleuriste;Place de la Liberté, 54800 Jarny;03 82 33 11 66
Passion Fleurs;Fleuriste;Avenue Patton, 54800 Jarny;03 82 20 88 33
Au Jardin de Jarny;Fleuriste;Rue de l'Hôtel de Ville, 54800 Jarny;03 82 33 33 99
Garage de la Gare Jarny;Garage Automobile;Avenue de la Gare, 54800 Jarny;03 82 33 33 55
Meca Jarny Service;Garage Automobile;Rue Saint-Lazare, 54800 Jarny;03 82 20 66 22
Garage de la République;Garage Automobile;Avenue de la République, 54800 Jarny;03 82 33 99 88
Jarny Pneus Service;Garage Automobile;Route de Conflans, 54800 Jarny;03 82 20 44 77
Carrosserie Jarnysienne;Carrosserie;Zone Industrielle, 54800 Jarny;03 82 33 11 88
Garage de la Victoire;Garage Automobile;Rue de la Victoire, 54800 Jarny;03 82 33 22 55
Plomberie Jarnysienne;Plombier;54800 Jarny;03 82 33 11 44
Chauffage Lorrain Service;Chauffagiste;54800 Jarny;03 82 20 55 99
Artisan Plombier du secteur;Plombier;54800 Jarny;06 11 22 33 44
Électricité Générale Jarny;Électricien;54800 Jarny;03 82 33 88 11
Elec Pro Lorraine Services;Électricien;54800 Jarny;06 55 66 77 88
Coiffure Style Jarny;Coiffeur;30 Avenue de la République, 54800 Jarny;03 82 33 22 44
Salon Espace Coiffure;Coiffeur;115 Avenue Patton, 54800 Jarny;03 82 20 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 54800 Jarny;03 82 33 33 11
