Nom;Activité;Adresse;Téléphone
Boulangerie du Bourg;Boulangerie;12 Rue de l'Abbé Desplanques, 59130 Lambersart;03 20 92 11 44
Le Fournil de Canteleu;Boulangerie;85 Avenue de Dunkerque, 59130 Lambersart;03 20 93 55 88
Boulangerie Patisserie Maes;Boulangerie;40 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 33 22
Au Pain de Lambersart;Boulangerie;115 Rue de la République, 59130 Lambersart;03 20 92 88 11
Boulangerie du Canon d'Or;Boulangerie;Rue du Canon d'Or, 59130 Lambersart;03 20 00 44 66
Boucherie du Canon d'Or;Boucherie;25 Rue du Canon d'Or, 59130 Lambersart;03 20 00 22 77
Boucherie Centrale Lambersartoise;Boucherie;95 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 44 11
Boucherie du Bourg;Boucherie;Rue de l'Église, 59130 Lambersart;03 20 92 77 99
Boucherie Traiteur de Canteleu;Boucherie;Place de Canteleu, 59130 Lambersart;03 20 93 11 55
Lambersart Fleurs;Fleuriste;110 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 55 22
Au Jardin du Canon d'Or;Fleuriste;Rue du Canon d'Or, 59130 Lambersart;03 20 00 11 66
L'Orchidée de Canteleu;Fleuriste;60 Avenue de Dunkerque, 59130 Lambersart;03 20 93 88 33
Passion Fleurs Lambersart;Fleuriste;Rue de la République, 59130 Lambersart;03 20 92 33 99
Garage du Canon d'Or;Garage Automobile;150 Rue du Canon d'Or, 59130 Lambersart;03 20 00 33 55
Meca Lambersart Service;Garage Automobile;44 Avenue de Dunkerque, 59130 Lambersart;03 20 93 66 22
Garage de l'Hippodrome;Garage Automobile;Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 99 88
Lambersart Pneus;Garage Automobile;Rue de la République, 59130 Lambersart;03 20 92 44 77
Carrosserie Lambersartoise;Carrosserie;Zone Artisanale, 59130 Lambersart;03 20 92 11 88
Garage du Bourg;Garage Automobile;Rue de l'Abbé Desplanques, 59130 Lambersart;03 20 92 22 55
Plomberie Lambersartoise;Plombier;59130 Lambersart;03 20 92 11 44
Chauffage Lambersart Service;Chauffagiste;59130 Lambersart;03 20 92 55 99
Artisan Plombier du Canon d'Or;Plombier;59130 Lambersart;06 11 22 33 44
Chauffagiste de Canteleu;Plombier;59130 Lambersart;06 44 55 66 77
Électricité Générale Lambersart;Électricien;59130 Lambersart;03 20 92 88 11
Elec Pro Lambersart Services;Électricien;59130 Lambersart;06 55 66 77 88
Électricité du Canon d'Or;Électricien;59130 Lambersart;03 20 00 11 99
Coiffure du Canon d'Or;Coiffeur;30 Rue du Canon d'Or, 59130 Lambersart;03 20 00 22 44
Salon Espace Hippodrome;Coiffeur;115 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 77 66
Coiffure Homme Lambersartoise;Coiffeur;Rue de la République, 59130 Lambersart;03 20 92 33 11
Salon de Canteleu;Coiffeur;Place de Canteleu, 59130 Lambersart;03 20 93 88 55
Institut Beauté Lambersart;Institut de Beauté;55 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 33 11
Institut Ongle Passion Lambersart;Institut de Beauté;Avenue de Dunkerque, 59130 Lambersart;03 20 93 66 88
Bien-être au Canon d'Or;Institut de Beauté;Rue du Canon d'Or, 59130 Lambersart;03 20 00 99 44
Cordonnerie du Bourg;Cordonnier;90 Rue de l'Abbé Desplanques, 59130 Lambersart;03 20 92 66 88
Cordonnerie de l'Hippodrome;Cordonnier;Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 11 22
Pressing de l'Hippodrome;Pressing;18 Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 99 44
Pressing de Canteleu;Pressing;Place de Canteleu, 59130 Lambersart;03 20 93 11 77
Laverie du Canon d'Or;Pressing;Rue du Canon d'Or, 59130 Lambersart;03 20 00 66 44
Friterie Lambersartoise;Friterie;Place de Canteleu, 59130 Lambersart;03 20 93 44 33
La Frite de l'Hippodrome;Friterie;Avenue de l'Hippodrome, 59130 Lambersart;03 20 00 55 11
Friterie du Bourg;Friterie;Place de la Mairie, 59130 Lambersart;03 20 92 22 99
