Nom;Activité;Adresse;Téléphone
Le Fournil du Plateau;Boulangerie;12 Rue Saint-Jean, 02000 Laon;03 23 23 11 22
Boulangerie Patisserie Lefebvre;Boulangerie;45 Rue Châtelaine, 02000 Laon;03 23 23 55 88
Au Pain de la Cité;Boulangerie;80 Rue Sérurier, 02000 Laon;03 23 23 33 44
Boulangerie de la Cathédrale;Boulangerie;12 Place du Parvis, 02000 Laon;03 23 23 88 11
Boulangerie du Centre Ville Basse;Boulangerie;Boulevard de Lyon, 02000 Laon;03 23 20 44 66
Boucherie de la Cité;Boucherie;25 Rue Châtelaine, 02000 Laon;03 23 23 22 77
Boucherie Centrale;Boucherie;90 Boulevard de Lyon, 02000 Laon;03 23 20 44 11
Boucherie Charcuterie Laonnoise;Boucherie;Rue Jean-Baptiste Lebas, 02000 Laon;03 23 20 77 99
Boucherie Traiteur du Plateau;Boucherie;Avenue de la République, 02000 Laon;03 23 23 11 55
Laon Fleurs;Fleuriste;110 Rue Châtelaine, 02000 Laon;03 23 23 55 22
L'Orchidée de la Cité;Fleuriste;Place du Général Leclerc, 02000 Laon;03 23 23 11 66
Passion Fleurs Laon;Fleuriste;Avenue Charles de Gaulle, 02000 Laon;03 23 20 88 33
Au Jardin de Laon;Fleuriste;Boulevard de Lyon, 02000 Laon;03 23 20 33 99
Garage de la Gare Laon;Garage Automobile;Avenue de la Gare, 02000 Laon;03 23 20 33 55
Meca Laon Service;Garage Automobile;Rue de l'Abbiette, 02000 Laon;03 23 20 66 22
Garage du Plateau;Garage Automobile;Avenue de la République, 02000 Laon;03 23 23 99 88
Laon Pneu Service;Garage Automobile;Route de Vaux, 02000 Laon;03 23 20 44 77
Carrosserie Laonnoise;Carrosserie;Zone Industrielle du Champ de Tir, 02000 Laon;03 23 20 11 88
Plomberie Laonnoise;Plombier;02000 Laon;03 23 20 11 44
Chauffage Aisne Service;Chauffagiste;02000 Laon;03 23 20 55 99
Artisan Plombier du Laonnois;Plombier;02000 Laon;06 11 22 33 44
Électricité Générale Laon;Électricien;02000 Laon;03 23 20 88 11
Elec Pro Laon Services;Électricien;02000 Laon;06 55 66 77 88
Coiffure Style Laon;Coiffeur;30 Rue Châtelaine, 02000 Laon;03 23 23 22 44
Salon Espace Coiffure;Coiffeur;115 Boulevard de Lyon, 02000 Laon;03 23 20 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue Saint-Jean, 02000 Laon;03 23 23 33 11
Institut Beauté Douceur;Institut de Beauté;55 Rue Châtelaine, 02000 Laon;03 23 23 33 11
Institut Ongle Passion Laon;Institut de Beauté;Avenue de la République, 02000 Laon;03 23 23 66 88
Cordonnerie de la Cité;Cordonnier;90 Rue Sérurier, 02000 Laon;03 23 23 66 88
Pressing de la Ville Basse;Pressing;Place de la Gare, 02000 Laon;03 23 20 99 44
Laverie Laonnoise;Pressing;Rue Saint-Jean, 02000 Laon;03 23 23 11 77
Friterie de la Place;Friterie;Place du Général Leclerc, 02000 Laon;03 23 23 44 33
La Frite Laonnoise;Friterie;Boulevard de Lyon, 02000 Laon;03 23 20 55 11
Le Café du Palais;Bar/Café;Place du Parvis, 02000 Laon;03 23 23 11 88
Brasserie de la Mairie;Brasserie;Place du Général Leclerc, 02000 Laon;03 23 23 99 55
Le Terminus Laon;Bar/Café;Place de la Gare, 02000 Laon;03 23 20 44 66
Menuiserie Laonnoise;Menuisier;02000 Laon;03 23 20 77 22
L'Artisan du Bois Laon;Menuisier;02000 Laon;03 23 20 33 77
Peinture Déco Laon;Peintre;02000 Laon;03 23 20 66 44
Artisan Peintre de l'Aisne;Peintre;02000 Laon;03 23 20 11 33
Toiture Laonnoise;Couvreur;02000 Laon;03 23 20 99 55
Couverture de l'Aisne;Couvreur;02000 Laon;03 23 20 11 88
Auto-École de la Cité;Auto-école;Rue Sérurier, 02000 Laon;03 23 23 44 66
Taxi Laonnois;Taxi;02000 Laon;03 23 20 88 88
Ambulances du Laonnois;Ambulance;02000 Laon;03 23 20 77 88
Pompes Funèbres Générales Laon;Pompes Funèbres;02000 Laon;03 23 20 10 10
Boulangerie de Chambry;Boulangerie;22 Rue de la République, 02000 Chambry;03 23 20 11 22
Boucherie de Chambry;Boucherie;40 Rue de la République, 02000 Chambry;03 23 20 55 88
Garage de Chambry;Garage Automobile;110 Rue de la République, 02000 Chambry;03 23 20 88 44
Coiffure de Chambry;Coiffeur;55 Rue de la République, 02000 Chambry;03 23 20 33 11
Plomberie de Chambry;Plombier;02000 Chambry;03 23 20 66 55
Friterie de Chambry;Friterie;Zone Commerciale, 02000 Chambry;03 23 20 44 99
Boulangerie d'Athies;Boulangerie;30 Rue Jean Jaurès, 02000 Athies-sous-Laon;03 23 20 11 33
Boucherie d'Athies;Boucherie;45 Rue Jean Jaurès, 02000 Athies-sous-Laon;03 23 20 55 66
Athies Fleurs;Fleuriste;15 Rue Jean Jaurès, 02000 Athies-sous-Laon;03 23 20 88 22
Garage d'Athies;Garage Automobile;90 Rue Jean Jaurès, 02000 Athies-sous-Laon;03 23 20 33 99
Coiffure d'Athies;Coiffeur;60 Rue Jean Jaurès, 02000 Athies-sous-Laon;03 23 20 77 11
Plomberie d'Athies;Plombier;02000 Athies-sous-Laon;03 23 20 22 55
Boulangerie de Mons;Boulangerie;40 Rue de l'Église, 02000 Mons-en-Laonnois;03 23 21 11 44
Boucherie de Mons;Boucherie;55 Rue de l'Église, 02000 Mons-en-Laonnois;03 23 21 55 88
Garage de Mons;Garage Automobile;120 Rue Principale, 02000 Mons-en-Laonnois;03 23 21 88 22
Mons Fleurs;Fleuriste;25 Rue de l'Église, 02000 Mons-en-Laonnois;03 23 21 33 99
Coiffure de Mons;Coiffeur;70 Rue de l'Église, 02000 Mons-en-Laonnois;03 23 21 66 11
Plomberie de Mons;Plombier;02000 Mons-en-Laonnois;03 23 21 44 77
Boulangerie de Besny;Boulangerie;22 Rue de Soissons, 02000 Besny-et-Loizy;03 23 20 11 22
Garage de Besny;Garage Automobile;80 Rue de Soissons, 02000 Besny-et-Loizy;03 23 20 88 44
Boulangerie de Clacy;Boulangerie;30 Rue de Laon, 02000 Clacy-et-Thierret;03 23 21 11 66
Garage de Clacy;Garage Automobile;50 Rue de Laon, 02000 Clacy-et-Thierret;03 23 21 88 11
Optique Laonnois;Opticien;Rue Châtelaine, 02000 Laon;03 23 23 22 55
Pharmacie Centrale Laon;Pharmacie;Place du Général Leclerc, 02000 Laon;03 23 23 33 22
Pharmacie de la Ville Basse;Pharmacie;Boulevard de Lyon, 02000 Laon;03 23 20 33 88
Pharmacie de Chambry;Pharmacie;Rue de la République, 02000 Chambry;03 23 20 11 33
Institut Océane Laon;Institut de Beauté;Avenue de la République, 02000 Laon;03 23 23 12 34
Salon Création Coiffure;Coiffeur;Rue Saint-Jean, 02000 Laon;03 23 23 78 90
Cordonnerie du Plateau;Cordonnier;Avenue de la République, 02000 Laon;03 23 23 56 78
Pressing Laon Pro;Pressing;Rue Châtelaine, 02000 Laon;03 23 23 90 12
Mercerie Laonnoise;Mercerie;Rue Châtelaine, 02000 Laon;03 23 23 55 77
Retouche Laon;Couturier;Rue Sérurier, 02000 Laon;03 23 23 88 44
Antiquités de la Cité;Antiquaire;Laon;03 23 23 33 66
Librairie de la Cité;Librairie;Rue Saint-Jean, 02000 Laon;03 23 23 22 33
Dépannage Élec Laon;Électricien;02000 Laon;06 11 33 44 55
Chauffagiste Aisne Pro;Chauffagiste;02000 Chambry;03 23 20 11 11
Toiture Laon Pro;Couvreur;02000 Laon;03 23 20 11 11
Peintre Laonnois;Peintre;02000 Athies-sous-Laon;03 23 20 11 11
Menuiserie Laon;Menuisier;02000 Mons-en-Laonnois;03 23 21 11 11
Poissonnerie du Marché;Poissonnerie;Place du Parvis, 02000 Laon;03 23 23 11 11
Taxi de Chambry;Taxi;02000 Chambry;03 23 20 20 20
Taxi d'Athies;Taxi;02000 Athies-sous-Laon;03 23 20 30 30
Ambulances de l'Aisne;Ambulance;02000 Laon;03 23 20 88 88
PFG Chambry;Pompes Funèbres;02000 Chambry;03 23 20 10 10
PFG Mons-en-Laonnois;Pompes Funèbres;02000 Mons-en-Laonnois;03 23 21 10 10
Café des Sports Athies;Bar;02000 Athies-sous-Laon;03 23 20 22 11
Brasserie de la Mairie Mons;Brasserie;02000 Mons-en-Laonnois;03 23 21 77 44
Coiffure de Besny;Coiffeur;02000 Besny-et-Loizy;03 23 20 90 12
Boucherie de Clacy;Boucherie;02000 Clacy-et-Thierret;03 23 21 34 56
Le Relais de la Cité;Restaurant;Laon;03 23 23 44 55
L'Estaminet Laonnois;Restaurant;Laon;03 23 20 66 77
Friterie de la Cité;Friterie;Laon;03 23 23 90 12
Au Bon Accueil;Restaurant;Clacy-et-Thierret;03 23 21 11 11
