Nom;Activité;Adresse;Téléphone
Le Fournil de la Libération;Boulangerie;45 Avenue de la Libération, 54520 Laxou;03 83 96 11 22
Boulangerie Patisserie Lefevre;Boulangerie;12 Rue de la Meuse, 54520 Laxou;03 83 96 55 88
Au Pain de Laxou;Boulangerie;80 Avenue de Boufflers, 54520 Laxou;03 83 98 33 44
Boulangerie Maes;Boulangerie;15 Place de la Liberté, 54520 Laxou;03 83 96 88 11
Boulangerie du Village;Boulangerie;Rue de l'Édifice, 54520 Laxou;03 83 96 44 66
Boucherie Centrale Laxovienne;Boucherie;25 Avenue de la Libération, 54520 Laxou;03 83 96 22 77
Boucherie du Marché;Boucherie;Place de la Mairie, 54520 Laxou;03 83 96 44 11
Boucherie Charcuterie Traiteur du Plateau;Boucherie;Rue de la Meuse, 54520 Laxou;03 83 98 77 99
Boucherie Halal de Laxou;Boucherie;Avenue de l'Europe, 54520 Laxou;03 83 96 11 55
Laxou Fleurs;Fleuriste;110 Avenue de la Libération, 54520 Laxou;03 83 96 55 22
L'Orchidée Blanche;Fleuriste;Place de la Liberté, 54520 Laxou;03 83 96 11 66
Passion Fleurs Laxou;Fleuriste;Avenue de Boufflers, 54520 Laxou;03 83 98 88 33
Au Jardin de Laxou;Fleuriste;Rue de la Meuse, 54520 Laxou;03 83 96 33 99
Garage de la Gare Laxou;Garage Automobile;Avenue de la Libération, 54520 Laxou;03 83 96 33 55
Meca Laxou Service;Garage Automobile;Rue Saint-Lazare, 54520 Laxou;03 83 98 66 22
Garage de la Sapinière Pro;Garage Automobile;Avenue de la Résistance, 54520 Laxou;03 83 96 99 88
Laxou Pneus Service;Garage Automobile;Route de Toul, 54520 Laxou;03 83 98 44 77
Carrosserie Laxovienne;Carrosserie;Zone Artisanale, 54520 Laxou;03 83 96 11 88
Garage de la Mairie;Garage Automobile;Place de la Mairie, 54520 Laxou;03 83 96 22 55
Plomberie Laxovienne Service;Plombier;54520 Laxou;03 83 96 11 44
Chauffage Marne Ouest;Chauffagiste;54520 Laxou;03 83 98 55 99
Artisan Plombier du secteur;Plombier;54520 Laxou;06 11 22 33 44
Électricité Générale Laxou;Électricien;54520 Laxou;03 83 96 88 11
Elec Pro Oise Services;Électricien;54520 Laxou;06 55 66 77 88
Coiffure Style Laxou;Coiffeur;30 Avenue de la Libération, 54520 Laxou;03 83 96 22 44
Salon Espace Coiffure;Coiffeur;115 Avenue de Boufflers, 54520 Laxou;03 83 98 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 54520 Laxou;03 83 96 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Libération, 54520 Laxou;03 83 96 33 11
Institut Ongle Passion;Institut de Beauté;Place de la Mairie, 54520 Laxou;03 83 98 66 88
Cordonnerie de Laxou;Cordonnier;90 Avenue de la Libération, 54520 Laxou;03 83 96 66 88
Pressing du Centre;Pressing;Place de la Liberté, 54520 Laxou;03 83 96 99 44
Laverie Laxovienne;Pressing;Rue de la Meuse, 54520 Laxou;03 83 96 11 77
Friterie de la Place;Friterie;Place de la Mairie, 54520 Laxou;03 83 96 44 33
La Frite de l'Avenue;Friterie;Avenue de la Libération, 54520 Laxou;03 83 98 55 11
Le Café du Commerce;Bar/Café;Place de la Liberté, 54520 Laxou;03 83 96 11 88
Brasserie de la Mairie;Brasserie;Place de la Mairie, 54520 Laxou;03 83 96 99 55
Le Terminus;Bar/Café;Avenue de la Libération, 54520 Laxou;03 83 98 44 66
Menuiserie Laxou;Menuisier;54520 Laxou;03 83 96 77 22
L'Artisan du Bois Ouest;Menuisier;54520 Laxou;03 83 98 33 77
Peinture Déco Marne;Peintre;54520 Laxou;03 83 98 66 44
Artisan Peintre du secteur;Peintre;54520 Laxou;03 83 96 11 33
Toiture Laxou Pro;Couvreur;54520 Laxou;03 83 98 99 55
Couverture du secteur;Couvreur;54520 Laxou;03 83 96 11 88
Auto-École de la Mairie;Auto-école;Rue de la Meuse, 54520 Laxou;03 83 98 44 66
Taxi Laxou Pro;Taxi;54520 Laxou;03 83 96 88 88
Ambulances de la Vallée;Ambulance;54520 Laxou;03 83 98 77 88
Pompes Funèbres Générales Laxou;Pompes Funèbres;54520 Laxou;03 83 96 10 10
Boulangerie de Maxéville;Boulangerie;22 Rue de la République, 54320 Maxéville;03 83 32 11 22
Boucherie de Maxéville;Boucherie;40 Rue de la République, 54320 Maxéville;03 83 32 55 88
Garage de Maxéville;Garage Automobile;110 Route de Metz, 54320 Maxéville;03 83 32 88 44
Coiffure de Maxéville;Coiffeur;55 Rue de la République, 54320 Maxéville;03 83 32 33 11
Plomberie de Maxéville;Plombier;54320 Maxéville;03 83 32 66 55
Friterie de Maxéville;Friterie;Place de la Mairie, 54320 Maxéville;03 83 32 44 99
Boulangerie de Champigneulles;Boulangerie;30 Rue de Nancy, 54250 Champigneulles;03 83 34 11 33
Garage de Champigneulles;Garage Automobile;90 Avenue de la Libération, 54250 Champigneulles;03 83 34 88 22
Coiffure de Champigneulles;Coiffeur;60 Rue de Nancy, 54250 Champigneulles;03 83 34 77 11
Boucherie de Champigneulles;Boucherie;45 Rue de Nancy, 54250 Champigneulles;03 83 34 55 66
Boulangerie de Velaine;Boulangerie;22 Rue Principale, 54840 Velaine-en-Haye;03 83 23 11 44
Garage de Velaine;Garage Automobile;80 Rue Principale, 54840 Velaine-en-Haye;03 83 23 88 22
Boulangerie de Villers;Boulangerie;30 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 11 66
Garage de Villers;Garage Automobile;50 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 88 11
Optique Laxou;Opticien;Avenue de la Libération, 54520 Laxou;03 83 96 22 55
Pharmacie Centrale Laxou;Pharmacie;Place de la Mairie, 54520 Laxou;03 83 96 33 22
Pharmacie des Provinces;Pharmacie;Avenue de l'Europe, 54520 Laxou;03 83 98 33 88
Pharmacie de Maxéville;Pharmacie;Rue de la République, 54320 Maxéville;03 83 32 11 33
Institut Océane Laxou;Institut de Beauté;Avenue de la Libération, 54520 Laxou;03 83 96 12 34
Salon Création Coiffure;Coiffeur;Rue de la Meuse, 54520 Laxou;03 83 98 78 90
Cordonnerie de la Mairie;Cordonnier;Place de la Mairie, 54520 Laxou;03 83 96 56 78
Pressing Laxou Pro;Pressing;Avenue de la Libération, 54520 Laxou;03 83 96 90 12
Laverie de Maxéville;Pressing;Maxéville;03 83 32 34 56
Mercerie du Sud Rémois;Mercerie;Rue Pasteur, 54520 Laxou;03 83 96 55 77
Retouche Laxou;Couturier;Rue de la République, 54520 Laxou;03 83 98 88 44
Antiquités du secteur;Antiquaire;Laxou;03 83 96 33 66
Librairie de la Mairie;Librairie;Place de la Mairie, 54520 Laxou;03 83 96 22 33
Dépannage Élec Laxou;Électricien;54520 Laxou;06 11 33 44 55
Chauffagiste Marne Pro;Chauffagiste;54320 Maxéville;03 83 32 11 11
Toiture Laxou Pro;Couvreur;54520 Laxou;03 83 96 11 11
Peintre Laxovien;Peintre;54520 Laxou;03 83 96 11 11
Menuiserie du secteur;Menuisier;54250 Champigneulles;03 83 34 11 11
Poissonnerie du Marché;Poissonnerie;Place de la Mairie, 54520 Laxou;03 83 96 11 11
Taxi de Maxéville;Taxi;54320 Maxéville;03 83 32 20 20
Taxi de Champigneulles;Taxi;54250 Champigneulles;03 83 34 20 30
Ambulances de la Marne;Ambulance;54520 Laxou;03 83 98 88 88
PFG Maxéville;Pompes Funèbres;54320 Maxéville;03 83 32 10 10
PFG Champigneulles;Pompes Funèbres;54250 Champigneulles;03 83 34 10 11
Café des Sports Maxéville;Bar;54320 Maxéville;03 83 32 22 11
Brasserie de la Mairie Champigneulles;Brasserie;54250 Champigneulles;03 83 34 77 44
Coiffure de Velaine;Coiffeur;54840 Velaine;03 83 23 90 12
Boucherie de Velaine;Boucherie;54840 Velaine;03 83 23 34 56
Le Relais Lorrain;Restaurant;Laxou;03 83 96 44 55
L'Estaminet du Ouest;Restaurant;Laxou;03 83 98 66 77
Friterie de la Mairie;Friterie;Laxou;03 83 96 90 12
Au Bon Accueil Maxéville;Restaurant;Maxéville;03 83 32 11 11
