Nom;Activité;Adresse;Téléphone
Boulangerie de la Gare;Boulangerie;22 Rue de la Gare, 80330 Longueau;03 22 46 12 34
Le Fournil de Longueau;Boulangerie;85 Avenue du 4 Septembre, 80330 Longueau;03 22 46 56 78
Au Pain Doré;Boulangerie;Rue Victor Hugo, 80330 Longueau;03 22 46 90 12
Boulangerie Patisserie Maes;Boulangerie;Place de la Mairie, 80330 Longueau;03 22 46 34 56
Boucherie de la Gare;Boucherie;40 Rue de la Gare, 80330 Longueau;03 22 46 78 90
Boucherie Centrale;Boucherie;Avenue du 4 Septembre, 80330 Longueau;03 22 46 12 34
Boucherie Charcuterie Traiteur;Boucherie;Rue Jules Ferry, 80330 Longueau;03 22 46 56 78
Longueau Fleurs;Fleuriste;15 Avenue de la Gare, 80330 Longueau;03 22 46 90 12
Passion Fleurs;Fleuriste;Rue Victor Hugo, 80330 Longueau;03 22 46 34 56
L'Orchidée de Longueau;Fleuriste;Rue Jules Ferry, 80330 Longueau;03 22 46 78 90
Garage de la Gare Longueau;Garage Automobile;Avenue du 4 Septembre, 80330 Longueau;03 22 46 11 11
Meca Longueau Service;Garage Automobile;Rue de la Gare, 80330 Longueau;03 22 46 22 22
Carrosserie de la Marque;Carrosserie;Zone Industrielle, 80330 Longueau;03 22 46 33 33
Longueau Pneus;Garage Automobile;Route de Corbie, 80330 Longueau;03 22 46 44 44
Garage du Centre;Garage Automobile;Rue Victor Hugo, 80330 Longueau;03 22 46 55 55
Plomberie Longueau Service;Plombier;80330 Longueau;03 22 46 66 66
Chauffage de la Vallée de Somme;Chauffagiste;80330 Longueau;03 22 46 77 77
Artisan Plombier 80;Plombier;80330 Longueau;06 11 22 33 44
Électricité Générale Longueau;Électricien;80330 Longueau;03 22 46 88 88
Elec Pro Longueau;Électricien;80330 Longueau;06 55 66 77 88
Coiffure Nouvelle Tendance;Coiffeur;30 Rue de la Gare, 80330 Longueau;03 22 46 99 99
Salon Espace Coiffure;Coiffeur;Avenue du 4 Septembre, 80330 Longueau;03 22 46 10 10
Coiffure Martine;Coiffeur;Rue Victor Hugo, 80330 Longueau;03 22 46 20 20
Institut de Beauté de Longueau;Institut de Beauté;Rue de la Gare, 80330 Longueau;03 22 46 30 30
Institut Ongle Passion;Institut de Beauté;Avenue du 4 Septembre, 80330 Longueau;03 22 46 40 40
Cordonnerie de Longueau;Cordonnier;Rue Jules Ferry, 80330 Longueau;03 22 46 50 50
Pressing de Longueau;Pressing;Rue de la Gare, 80330 Longueau;03 22 46 60 60
Laverie de Longueau;Pressing;Avenue du 4 Septembre, 80330 Longueau;03 22 46 70 70
Friterie de la Gare;Friterie;Place de la Gare, 80330 Longueau;03 22 46 80 80
La Frite de Longueau;Friterie;Avenue du 4 Septembre, 80330 Longueau;03 22 46 90 90
Brasserie de la Gare;Brasserie;Place de la Gare, 80330 Longueau;03 22 46 00 00
Café des Sports;Bar/Café;Rue de la Gare, 80330 Longueau;03 22 46 11 00
Le Terminus;Bar/Café;Avenue du 4 Septembre, 80330 Longueau;03 22 46 22 00
Menuiserie de Longueau;Menuisier;80330 Longueau;03 22 46 33 00
Peinture Déco Longueau;Peintre;80330 Longueau;03 22 46 44 00
Toiture de Longueau;Couvreur;80330 Longueau;03 22 46 55 00
Auto-École de Longueau;Auto-école;Rue de la Gare, 80330 Longueau;03 22 46 66 00
Taxi Longueau Pro;Taxi;80330 Longueau;03 22 46 77 00
Ambulances de Longueau;Ambulance;80330 Longueau;03 22 46 88 00
Pompes Funèbres de Longueau;Pompes Funèbres;80330 Longueau;03 22 46 99 00
Boulangerie de Boves;Boulangerie;22 Rue Victor Hugo, 80440 Boves;03 22 35 11 22
Le Fournil de Boves;Boulangerie;Place de la Mairie, 80440 Boves;03 22 35 55 88
Boucherie de Boves;Boucherie;40 Rue Victor Hugo, 80440 Boves;03 22 35 88 44
Garage de Boves;Garage Automobile;Route de Moreuil, 80440 Boves;03 22 35 33 11
Coiffure de Boves;Coiffeur;55 Rue Victor Hugo, 80440 Boves;03 22 35 66 55
Plomberie de Boves;Plombier;80440 Boves;03 22 35 99 22
Friterie de Boves;Friterie;Place de la Mairie, 80440 Boves;03 22 35 44 99
Boulangerie de Glisy;Boulangerie;Route de Saint-Quentin, 80440 Glisy;03 22 38 11 33
Garage de Glisy;Garage Automobile;Rue de l'Aérodrome, 80440 Glisy;03 22 38 88 22
Auberge de Glisy;Restaurant;Place de l'Église, 80440 Glisy;03 22 38 55 66
Boulangerie de Cagny;Boulangerie;22 Rue d'Amiens, 80090 Cagny;03 22 95 11 22
Boucherie de Cagny;Boucherie;40 Rue d'Amiens, 80090 Cagny;03 22 95 55 88
Garage de Cagny;Garage Automobile;80 Rue d'Amiens, 80090 Cagny;03 22 95 88 44
Coiffure de Cagny;Coiffeur;45 Rue d'Amiens, 80090 Cagny;03 22 95 33 11
Boulangerie de Camon;Boulangerie;30 Rue Marius Petit, 80450 Camon;03 22 49 11 33
Boucherie de Camon;Boucherie;45 Rue Marius Petit, 80450 Camon;03 22 49 55 66
Garage de Camon;Garage Automobile;90 Chaussée Jules Ferry, 80450 Camon;03 22 49 33 99
Coiffure de Camon;Coiffeur;60 Rue Marius Petit, 80450 Camon;03 22 49 77 11
Boulangerie de Rivery;Boulangerie;40 Rue Baudrez, 80136 Rivery;03 22 91 11 44
Boucherie de Rivery;Boucherie;55 Rue Baudrez, 80136 Rivery;03 22 91 55 88
Garage de Rivery;Garage Automobile;120 Route de Corbie, 80136 Rivery;03 22 91 88 22
Coiffure de Rivery;Coiffeur;70 Rue Baudrez, 80136 Rivery;03 22 91 66 11
Taxi Boves Pro;Taxi;80440 Boves;03 22 35 03 03
Taxi Camon Pro;Taxi;80450 Camon;03 22 49 03 03
Ambulances de la Vallée;Ambulance;80440 Boves;03 22 35 88 88
Pompes Funèbres de la Somme;Pompes Funèbres;80450 Camon;03 22 49 10 10
Librairie de la Gare;Librairie;80330 Longueau;03 22 46 22 33
Mercerie de Longueau;Mercerie;80330 Longueau;03 22 46 55 77
Retouche Longueau;Couturier;80330 Longueau;03 22 46 88 44
Optique Longueau;Opticien;80330 Longueau;03 22 46 22 55
Pharmacie de Longueau Centre;Pharmacie;80330 Longueau;03 22 46 33 22
Pharmacie de Boves;Pharmacie;80440 Boves;03 22 35 33 88
Optique Camon;Opticien;80450 Camon;03 22 49 33 66
Garage de l'Est Amiénois;Garage Automobile;80330 Longueau;03 22 46 56 78
Longueau Pneus Pro;Garage Automobile;80330 Longueau;03 22 46 90 12
Salon Création Coiffure;Coiffeur;80330 Longueau;03 22 46 78 90
Institut Océane Longueau;Institut de Beauté;80330 Longueau;03 22 46 12 34
Cordonnerie de la Gare;Cordonnier;80330 Longueau;03 22 46 56 78
Pressing Longueau Pro;Pressing;80330 Longueau;03 22 46 90 12
Menuiserie de la Somme;Menuisier;80440 Boves;03 22 35 11 11
Électricien Longueau Pro;Électricien;80330 Longueau;06 11 33 44 55
Chauffagiste Longueau Pro;Chauffagiste;80330 Longueau;03 22 46 11 11
Toiture de la Somme Pro;Couvreur;80450 Camon;03 22 49 11 11
Peintre de la Somme Pro;Peintre;80136 Rivery;03 22 91 11 11
