Nom;Activité;Adresse;Téléphone
Le Fournil de Longwy-Haut;Boulangerie;12 Place Darche, 54400 Longwy;03 82 24 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue de l'Hôtel de Ville, 54400 Longwy;03 82 23 55 88
Au Pain Longovicien;Boulangerie;80 Avenue de la République, 54400 Longwy;03 82 24 33 44
Boulangerie Maes;Boulangerie;15 Rue de Lorraine, 54400 Longwy;03 82 23 88 11
Boulangerie du Centre Longwy-Bas;Boulangerie;Rue Aristide Briand, 54400 Longwy;03 82 23 44 66
Boucherie Centrale du Pays-Haut;Boucherie;25 Rue de l'Hôtel de Ville, 54400 Longwy;03 82 24 22 77
Boucherie du Marché;Boucherie;Place Darche, 54400 Longwy;03 82 23 44 11
Boucherie Charcuterie Longovicienne;Boucherie;Rue de la Manutention, 54400 Longwy;03 82 24 77 99
Boucherie Traiteur de la Frontière;Boucherie;Avenue de Saint-ignon, 54400 Longwy;03 82 23 11 55
Longwy Fleurs;Fleuriste;110 Avenue de la République, 54400 Longwy;03 82 24 55 22
L'Orchidée Blanche;Fleuriste;Place Darche, 54400 Longwy;03 82 23 11 66
Passion Fleurs;Fleuriste;Avenue du Luxembourg, 54400 Longwy;03 82 25 88 33
Au Jardin de Vauban;Fleuriste;Rue de l'Hôtel de Ville, 54400 Longwy;03 82 24 33 99
Garage de la Gare Longwy;Garage Automobile;Avenue de la Gare, 54400 Longwy;03 82 23 33 55
Meca Longwy Service;Garage Automobile;Rue Saint-Lazare, 54400 Longwy;03 82 24 66 22
Garage de la Frontière;Garage Automobile;Route de Luxembourg, 54400 Longwy;03 82 23 99 88
Longwy Pneus Service;Garage Automobile;Avenue de l'Aviation, 54400 Longwy;03 82 25 44 77
Carrosserie Longovicienne;Carrosserie;Zone Industrielle, 54400 Longwy;03 82 24 11 88
Garage de la Victoire;Garage Automobile;Rue de la Victoire, 54400 Longwy;03 82 23 22 55
Plomberie Longovicienne;Plombier;54400 Longwy;03 82 24 11 44
Chauffage Pays-Haut Service;Chauffagiste;54400 Longwy;03 82 25 55 99
Artisan Plombier du secteur;Plombier;54400 Longwy;06 11 22 33 44
Électricité Générale Longwy;Électricien;54400 Longwy;03 82 24 88 11
Elec Pro Frontière Services;Électricien;54400 Longwy;06 55 66 77 88
Coiffure Style Longwy;Coiffeur;30 Rue de l'Hôtel de Ville, 54400 Longwy;03 82 23 22 44
Salon Espace Coiffure;Coiffeur;115 Avenue de la République, 54400 Longwy;03 82 24 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 54400 Longwy;03 82 23 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue du Luxembourg, 54400 Longwy;03 82 25 33 11
Institut Ongle Passion;Institut de Beauté;Place Darche, 54400 Longwy;03 82 23 66 88
Cordonnerie de Longwy;Cordonnier;90 Rue de la République, 54400 Longwy;03 82 24 66 88
Pressing du Centre;Pressing;Place de la Libération, 54400 Longwy;03 82 23 99 44
Laverie Longovicienne;Pressing;Rue de l'Hôtel de Ville, 54400 Longwy;03 82 24 11 77
Friterie de la Place;Friterie;Place Darche, 54400 Longwy;03 82 23 44 33
La Frite du Pays-Haut;Friterie;Avenue de la Gare, 54400 Longwy;03 82 23 55 11
Le Café du Commerce;Bar/Café;Place Darche, 54400 Longwy;03 82 23 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 54400 Longwy;03 82 23 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 54400 Longwy;03 82 23 44 66
Menuiserie Longovicienne;Menuisier;54400 Longwy;03 82 24 77 22
L'Artisan du Bois;Menuisier;54400 Longwy;03 82 25 33 77
Peinture Déco Pays-Haut;Peintre;54400 Longwy;03 82 25 66 44
Artisan Peintre du secteur;Peintre;54400 Longwy;03 82 24 11 33
Toiture Longovicienne;Couvreur;54400 Longwy;03 82 25 99 55
Couverture du secteur;Couvreur;54400 Longwy;03 82 24 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 54400 Longwy;03 82 23 44 66
Taxi Longwy Pro;Taxi;54400 Longwy;03 82 24 88 88
Ambulances de la Frontière;Ambulance;54400 Longwy;03 82 25 77 88
Pompes Funèbres Générales Longwy;Pompes Funèbres;54400 Longwy;03 82 24 10 10
Boulangerie de Mont-St-Martin;Boulangerie;22 Rue de la République, 54350 Mont-Saint-Martin;03 82 24 11 22
Boucherie de Mont-St-Martin;Boucherie;40 Rue de la République, 54350 Mont-Saint-Martin;03 82 24 55 88
