Nom;Activité;Adresse;Téléphone
Boulangerie du Quesne;Boulangerie;145 Rue de l'Abbé Bonpain, 59700 Marcq-en-Barœul;03 20 72 11 44
Le Fournil de la Rianderie;Boulangerie;50 Rue de la Rianderie, 59700 Marcq-en-Barœul;03 20 72 55 88
Boulangerie Patisserie Maes;Boulangerie;80 Avenue Foch, 59700 Marcq-en-Barœul;03 20 72 33 22
Au Pain de Marcq;Boulangerie;115 Rue de la République, 59700 Marcq-en-Barœul;03 20 72 88 11
Boulangerie du Croisé;Boulangerie;Avenue de la Marne, 59700 Marcq-en-Barœul;03 20 72 44 66
Boucherie de la Rianderie;Boucherie;25 Rue de la Rianderie, 59700 Marcq-en-Barœul;03 20 72 22 77
Boucherie Centrale Marcquoise;Boucherie;95 Avenue Foch, 59700 Marcq-en-Barœul;03 20 72 44 11
Boucherie du Bourg;Boucherie;Rue de l'Église, 59700 Marcq-en-Barœul;03 20 72 77 99
Boucherie Traiteur du Croisé;Boucherie;Place du Croisé-Laroche, 59700 Marcq-en-Barœul;03 20 72 11 55
Marcq Fleurs;Fleuriste;110 Avenue Foch, 59700 Marcq-en-Barœul;03 20 72 55 22
Au Jardin du Quesne;Fleuriste;Rue de l'Abbé Bonpain, 59700 Marcq-en-Barœul;03 20 72 11 66
La Rianderie Florale;Fleuriste;60 Rue de la Rianderie, 59700 Marcq-en-Barœul;03 20 72 88 33
Passion Fleurs Marcq;Fleuriste;Avenue de la Marne, 59700 Marcq-en-Barœul;03 20 72 33 99
Garage du Croisé-Laroche;Garage Automobile;150 Avenue de la Marne, 59700 Marcq-en-Barœul;03 20 72 33 55
Meca Marcq Service;Garage Automobile;44 Rue de la Rianderie, 59700 Marcq-en-Barœul;03 20 72 66 22
Garage Foch;Garage Automobile;Avenue Foch, 59700 Marcq-en-Barœul;03 20 72 99 88
Marcq Pneus;Garage Automobile;Rue de la République, 59700 Marcq-en-Barœul;03 20 72 44 77
Carrosserie Marcquoise;Carrosserie;Zone Industrielle, 59700 Marcq-en-Barœul;03 20 72 11 88
Garage du Quesne;Garage Automobile;Rue de l'Abbé Bonpain, 59700 Marcq-en-Barœul;03 20 72 22 55
Plomberie Marcquoise;Plombier;59700 Marcq-en-Barœul;03 20 72 11 44
Chauffage Marcq Service;Chauffagiste;59700 Marcq-en-Barœul;03 20 72 55 99
Artisan Plombier du Croisé;Plombier;59700 Marcq-en-Barœul;06 11 22 33 44
Chauffagiste de la Rianderie;Plombier;59700 Marcq-en-Barœul;06 44 55 66 77
Électricité Générale Marcquoise;Électricien;59700 Marcq-en-Barœul;03 20 72 88 11
Elec Pro Marcq Services;Électricien;59700 Marcq-en-Barœul;06 55 66 77 88
Électricité Barœuloise;Électricien;59700 Marcq-en-Barœul;03 20 72 11 99
Coiffure du Croisé;Coiffeur;30 Place du Croisé-Laroche, 59700 Marcq-en-Barœul;03 20 72 22 44
Salon Espace Foch;Coiffeur;115 Avenue Foch, 59700 Marcq-en-Barœul;03 20 72 77 66
Coiffure Homme Marcquoise;Coiffeur;Rue de la République, 59700 Marcq-en-Barœul;03 20 72 33 11
