Nom;Activité;Adresse;Téléphone
Le Fournil de la Primatiale;Boulangerie;12 Rue Saint-Georges, 54000 Nancy;03 83 32 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue Saint-Dizier, 54000 Nancy;03 83 35 55 88
Au Pain de Stanislas;Boulangerie;80 Rue des Ponts, 54000 Nancy;03 83 36 33 44
Boulangerie Maes;Boulangerie;15 Rue de la Visitation, 54000 Nancy;03 83 30 88 11
Boulangerie du Marché Central;Boulangerie;Place Charles III, 54000 Nancy;03 83 32 44 66
Boucherie de la Place Charles III;Boucherie;25 Rue des Quatre Églises, 54000 Nancy;03 83 32 22 77
Boucherie Centrale Nancéienne;Boucherie;90 Rue Saint-Dizier, 54000 Nancy;03 83 35 44 11
Boucherie Charcuterie Traiteur du Centre;Boucherie;Rue de la Hache, 54000 Nancy;03 83 36 77 99
Boucherie Halal de la Porte Saint-Nicolas;Boucherie;Rue Charles III, 54000 Nancy;03 83 30 11 55
Nancy Fleurs;Fleuriste;110 Rue Saint-Dizier, 54000 Nancy;03 83 35 55 22
L'Orchidée Blanche;Fleuriste;Place du Marché, 54000 Nancy;03 83 32 11 66
Passion Fleurs Nancy;Fleuriste;Avenue de Strasbourg, 54000 Nancy;03 83 36 88 33
Au Jardin Ducal;Fleuriste;Rue de la Ville Vieille, 54000 Nancy;03 83 30 33 99
Garage de la Gare Nancy;Garage Automobile;Avenue du Général Leclerc, 54000 Nancy;03 83 32 33 55
Meca Nancy Service;Garage Automobile;Rue Isabey, 54000 Nancy;03 83 35 66 22
Garage Stanislas;Garage Automobile;Rue de la Ravinelle, 54000 Nancy;03 83 36 99 88
Nancy Pneus Service;Garage Automobile;Boulevard de Scarpone, 54000 Nancy;03 83 96 44 77
Carrosserie Nancéienne;Carrosserie;Zone Industrielle, 54000 Nancy;03 83 32 11 88
Garage de la Commanderie;Garage Automobile;Rue de la Commanderie, 54000 Nancy;03 83 27 22 55
Plomberie Nancéienne;Plombier;54000 Nancy;03 83 32 11 44
Chauffage Lorrain Service;Chauffagiste;54000 Nancy;03 83 35 55 99
Artisan Plombier du Centre-Ville;Plombier;54000 Nancy;06 11 22 33 44
Électricité Générale Nancy;Électricien;54000 Nancy;03 83 36 88 11
Elec Pro Lorraine Services;Électricien;54000 Nancy;06 55 66 77 88
Coiffure Style Nancy;Coiffeur;30 Rue des Ponts, 54000 Nancy;03 83 32 22 44
Salon Espace Coiffure;Coiffeur;115 Rue Saint-Dizier, 54000 Nancy;03 83 35 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue de la Primatiale, 54000 Nancy;03 83 30 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Libération, 54000 Nancy;03 83 96 33 11
Institut Ongle Passion;Institut de Beauté;Place Charles III, 54000 Nancy;03 83 32 66 88
Cordonnerie de Nancy;Cordonnier;90 Rue de la République, 54000 Nancy;03 83 36 66 88
Pressing du Centre;Pressing;Place de la Mairie, 54000 Nancy;03 83 32 99 44
Laverie Nancéienne;Pressing;Rue des Fabriques, 54000 Nancy;03 83 35 11 77
Friterie de la Place;Friterie;Place du Marché, 54000 Nancy;03 83 32 44 33
La Frite Lorraine;Friterie;Avenue de Strasbourg, 54000 Nancy;03 83 36 55 11
Le Café du Commerce;Bar/Café;Place Charles III, 54000 Nancy;03 83 32 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 54000 Nancy;03 83 35 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 54000 Nancy;03 83 32 44 66
Menuiserie Nancéienne;Menuisier;54000 Nancy;03 83 36 77 22
L'Artisan du Bois;Menuisier;54000 Nancy;03 83 35 33 77
Peinture Déco Nancy;Peintre;54000 Nancy;03 83 32 66 44
Artisan Peintre du secteur;Peintre;54000 Nancy;03 83 35 11 33
Toiture Nancéienne;Couvreur;54000 Nancy;03 83 36 99 55
Couverture du secteur;Couvreur;54000 Nancy;03 83 32 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 54000 Nancy;03 83 32 44 66
Taxi Nancy Pro;Taxi;54000 Nancy;03 83 35 88 88
Ambulances de la Vallée;Ambulance;54000 Nancy;03 83 36 77 88
Pompes Funèbres Générales Nancy;Pompes Funèbres;54000 Nancy;03 83 32 10 10
Boulangerie de Vandœuvre;Boulangerie;22 Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 11 22
Boucherie de Vandœuvre;Boucherie;40 Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 55 88
Garage du Vélodrome;Garage Automobile;110 Boulevard d'Haussonville, 54500 Vandœuvre-lès-Nancy;03 83 53 88 44
Coiffure de Vandœuvre;Coiffeur;55 Boulevard d'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 33 11
Plomberie de Vandœuvre;Plombier;54500 Vandœuvre;03 83 51 66 55
Friterie de Vandœuvre;Friterie;Place de la Mairie, 54500 Vandœuvre;03 83 51 44 99
Boulangerie de Laxou;Boulangerie;30 Avenue de la Libération, 54520 Laxou;03 83 96 11 33
Garage de Laxou;Garage Automobile;90 Avenue de la Libération, 54520 Laxou;03 83 96 88 22
Coiffure de Laxou;Coiffeur;60 Avenue de la Libération, 54520 Laxou;03 83 96 77 11
Plomberie de Laxou;Plombier;54520 Laxou;03 83 96 22 55
Boulangerie de Villers;Boulangerie;22 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 11 22
Boucherie de Villers;Boucherie;40 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 55 88
Garage de Villers;Garage Automobile;120 Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 27 88 22
Coiffure de Villers;Coiffeur;70 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 33 99
Boulangerie de Saint-Max;Boulangerie;30 Avenue Carnot, 54130 Saint-Max;03 83 21 11 33
Boucherie de Saint-Max;Boucherie;45 Avenue Carnot, 54130 Saint-Max;03 83 21 55 66
Garage de Saint-Max;Garage Automobile;90 Avenue Carnot, 54130 Saint-Max;03 83 21 88 22
Coiffure de Saint-Max;Coiffeur;60 Avenue Carnot, 54130 Saint-Max;03 83 21 77 11
Boulangerie de Jarville;Boulangerie;40 Rue de la République, 54140 Jarville-la-Malgrange;03 83 56 11 44
Boucherie de Jarville;Boucherie;55 Rue de la République, 54140 Jarville-la-Malgrange;03 83 56 55 88
Garage de Jarville;Garage Automobile;120 Rue de la République, 54140 Jarville-la-Malgrange;03 83 56 88 22
Boulangerie de Malzéville;Boulangerie;22 Rue du Général de Gaulle, 54220 Malzéville;03 83 21 11 22
Garage de Malzéville;Garage Automobile;80 Rue du Général de Gaulle, 54220 Malzéville;03 83 21 88 44
Boulangerie de Maxéville;Boulangerie;30 Rue de la République, 54320 Maxéville;03 83 32 11 66
Garage de Maxéville;Garage Automobile;50 Rue de la République, 54320 Maxéville;03 83 32 88 11
Boulangerie de Tomblaine;Boulangerie;22 Boulevard du Millénaire, 54510 Tomblaine;03 83 29 11 77
Garage de Tomblaine;Garage Automobile;80 Boulevard du Millénaire, 54510 Tomblaine;03 83 29 88 44
Optique Nancéien;Opticien;Rue Saint-Dizier, 54000 Nancy;03 83 32 22 55
Pharmacie Centrale Nancy;Pharmacie;Place Charles III, 54000 Nancy;03 83 32 33 22
Pharmacie de Vandœuvre;Pharmacie;Boulevard d'Europe, 54500 Vandœuvre;03 83 51 33 88
Pharmacie de Laxou;Pharmacie;Avenue de la Libération, 54520 Laxou;03 83 96 11 33
Institut Océane Nancy;Institut de Beauté;Avenue de la Libération, 54000 Nancy;03 83 96 12 34
Salon Création Coiffure;Coiffeur;Rue Saint-Dizier, 54000 Nancy;03 83 35 78 90
Cordonnerie de la Mairie;Cordonnier;Rue de la Constitution, 54000 Nancy;03 83 32 56 78
Pressing Nancy Pro;Pressing;Rue Saint-Dizier, 54000 Nancy;03 83 32 90 12
Laverie de Vandœuvre;Pressing;Vandœuvre;03 83 51 34 56
Mercerie Nancéienne;Mercerie;Rue des Ponts, 54000 Nancy;03 83 35 55 77
Retouche Nancy;Couturier;Rue de la Hache, 54000 Nancy;03 83 32 88 44
Antiquités du secteur;Antiquaire;Nancy;03 83 32 33 66
Librairie de la Mairie;Librairie;Place de la Mairie, 54000 Nancy;03 83 32 22 33
Dépannage Élec Nancy;Électricien;54000 Nancy;06 11 33 44 55
Chauffagiste Marne Pro;Chauffagiste;54500 Vandœuvre;03 83 51 11 11
Toiture Nancy Pro;Couvreur;54000 Nancy;03 83 32 11 11
Peintre Nancéien;Peintre;54520 Laxou;03 83 96 11 11
Menuiserie du secteur;Menuisier;54600 Villers;03 83 27 11 11
Poissonnerie du Marché;Poissonnerie;Marché Central, 54000 Nancy;03 83 32 11 11
Taxi de Vandœuvre;Taxi;54500 Vandœuvre;03 83 51 20 20
Taxi de Laxou;Taxi;54520 Laxou;03 83 96 20 30
Ambulances de l'Aisne;Ambulance;54000 Nancy;03 83 36 88 88
PFG Vandœuvre;Pompes Funèbres;54500 Vandœuvre;03 83 51 10 10
PFG Laxou;Pompes Funèbres;54520 Laxou;03 83 96 10 11
Café des Sports Saint-Max;Bar;54130 Saint-Max;03 83 21 22 11
Brasserie de la Mairie Jarville;Brasserie;54140 Jarville;03 83 56 77 44
Coiffure de Essey;Coiffeur;54270 Essey-lès-Nancy;03 83 29 90 12
Boucherie de Essey;Boucherie;54270 Essey-lès-Nancy;03 83 29 34 56
Le Relais Lorrain;Restaurant;Nancy;03 83 32 44 55
L'Estaminet Nancéien;Restaurant;Nancy;03 83 35 66 77
Friterie de la Place;Friterie;Nancy;03 83 32 90 12
Au Bon Accueil Villers;Restaurant;Villers-lès-Nancy;03 83 27 11 11
Boulangerie Haussonville;Boulangerie;Quartier Haussonville, 54000 Nancy;03 83 27 12 34
Boucherie de Boudonville;Boucherie;Quartier Boudonville, 54000 Nancy;03 83 96 56 78
Garage de la Chasse;Garage;Quartier Beauregard, 54000 Nancy;03 83 96 90 12
Salon Création Nancy Vieille Ville;Coiffeur;54000 Nancy;03 83 30 12 34
Fleuriste de la Rive Droite;Fleuriste;Malzéville;03 83 21 56 78
Menuiserie du Grand Nancy;Menuisier;Maxéville;03 83 32 34 56
