Nom;Activité;Adresse;Téléphone
Le Fournil de la Meuse;Boulangerie;45 Rue Victor Hugo, 08500 Revin;03 24 40 11 22
Boulangerie Patisserie Lefevre;Boulangerie;12 Avenue Jean Jaurès, 08500 Revin;03 24 40 55 88
Au Pain de Revin;Boulangerie;80 Rue Victor Hugo, 08500 Revin;03 24 41 33 44
Boulangerie Maes;Boulangerie;15 Place Jean Moulin, 08500 Revin;03 24 40 88 11
Boulangerie du Centre Revin;Boulangerie;Quai Edgar Quinet, 08500 Revin;03 24 40 44 66
Boucherie Centrale Revinoise;Boucherie;25 Avenue Jean Jaurès, 08500 Revin;03 24 40 22 77
Boucherie du Marché;Boucherie;Place de la Mairie, 08500 Revin;03 24 40 44 11
Boucherie Charcuterie de la Vallée;Boucherie;Rue Victor Hugo, 08500 Revin;03 24 41 77 99
Boucherie Traiteur du Centre;Boucherie;Avenue du 8 Mai 1945, 08500 Revin;03 24 40 11 55
Revin Fleurs;Fleuriste;110 Rue Victor Hugo, 08500 Revin;03 24 40 55 22
L'Orchidée Blanche;Fleuriste;Place Jean Moulin, 08500 Revin;03 24 40 11 66
Passion Fleurs;Fleuriste;Avenue Jean Jaurès, 08500 Revin;03 24 41 88 33
Au Jardin de la Meuse;Fleuriste;Quai Edgar Quinet, 08500 Revin;03 24 40 33 99
Garage de la Vallée Revin;Garage Automobile;Avenue de la Gare, 08500 Revin;03 24 40 33 55
Meca Revin Service;Garage Automobile;Rue du Faubourg, 08500 Revin;03 24 41 66 22
Garage du Port;Garage Automobile;Quai Edgar Quinet, 08500 Revin;03 24 40 99 88
Revin Pneus Service;Garage Automobile;Route de Fumay, 08500 Revin;03 24 41 44 77
Carrosserie Revinoise;Carrosserie;Zone Industrielle, 08500 Revin;03 24 40 11 88
Garage de la Mairie;Garage Automobile;Place de l'Hôtel de Ville, 08500 Revin;03 24 40 22 55
Plomberie Revinoise;Plombier;08500 Revin;03 24 40 11 44
Chauffage Ardennes Service;Chauffagiste;08500 Revin;03 24 41 55 99
Artisan Plombier du secteur;Plombier;08500 Revin;06 11 22 33 44
Électricité Générale Revin;Électricien;08500 Revin;03 24 40 88 11
Elec Pro Ardennes Services;Électricien;08500 Revin;06 55 66 77 88
Coiffure Style Revin;Coiffeur;30 Avenue Jean Jaurès, 08500 Revin;02 35 42 22 44
Salon Espace Coiffure;Coiffeur;115 Rue Victor Hugo, 08500 Revin;03 24 41 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 08500 Revin;03 24 40 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue Jean Jaurès, 08500 Revin;03 24 40 33 11
Institut Ongle Passion;Institut de Beauté;Place de la Mairie, 08500 Revin;03 24 41 66 88
Cordonnerie de Revin;Cordonnier;90 Rue Victor Hugo, 08500 Revin;03 24 40 66 88
Pressing du Centre;Pressing;Place Jean Moulin, 08500 Revin;03 24 40 99 44
Laverie Revinoise;Pressing;Rue Victor Hugo, 08500 Revin;03 24 40 11 77
Friterie de la Place;Friterie;Place de la Mairie, 08500 Revin;03 24 40 44 33
La Frite Ardennaise;Friterie;Avenue de la Gare, 08500 Revin;03 24 41 55 11
Le Café du Commerce;Bar/Café;Place Jean Moulin, 08500 Revin;03 24 40 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 08500 Revin;03 24 40 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 08500 Revin;03 24 41 44 66
Menuiserie Revinoise;Menuisier;08500 Revin;03 24 40 77 22
L'Artisan du Bois;Menuisier;08500 Revin;03 24 41 33 77
Peinture Déco Ardennes;Peintre;08500 Revin;03 24 41 66 44
Artisan Peintre du secteur;Peintre;08500 Revin;03 24 40 11 33
Toiture Revinoise;Couvreur;08500 Revin;03 24 41 99 55
Couverture du secteur;Couvreur;08500 Revin;03 24 40 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 08500 Revin;03 24 41 44 66
Taxi Revinois Pro;Taxi;08500 Revin;03 24 40 88 88
Ambulances de la Vallée;Ambulance;08500 Revin;03 24 41 77 88
Pompes Funèbres Générales Revin;Pompes Funèbres;08500 Revin;03 24 40 10 10
Boulangerie de Fumay;Boulangerie;22 Rue de la République, 08170 Fumay;03 24 41 11 22
Boucherie de Fumay;Boucherie;40 Rue de la République, 08170 Fumay;03 24 41 55 88
Garage de Fumay;Garage Automobile;110 Route de Revin, 08170 Fumay;03 24 41 88 44
Coiffure de Fumay;Coiffeur;55 Rue de la République, 08170 Fumay;03 24 41 33 11
Plomberie de Fumay;Plombier;08170 Fumay;03 24 41 66 55
Friterie de Fumay;Friterie;Place de la Mairie, 08170 Fumay;03 24 41 44 99
Boulangerie de Rocroi;Boulangerie;30 Rue de la République, 08230 Rocroi;03 24 54 11 33
Garage de Rocroi;Garage Automobile;90 Avenue de la Libération, 08230 Rocroi;03 24 54 88 22
Coiffure de Rocroi;Coiffeur;60 Rue de la République, 08230 Rocroi;03 24 54 77 11
Boulangerie de Haybes;Boulangerie;40 Rue de la Libération, 08170 Haybes;02 35 84 11 44
Boucherie de Haybes;Boucherie;55 Rue de la Libération, 08170 Haybes;02 35 84 55 88
Garage de Haybes;Garage Automobile;120 Route de Fumay, 08170 Haybes;02 35 84 88 22
Coiffure de Haybes;Coiffeur;70 Rue de la Libération, 08170 Haybes;02 35 84 33 99
Boulangerie d'Anchamps;Boulangerie;22 Rue Principale, 08500 Anchamps;03 24 41 11 22
Garage d'Anchamps;Garage Automobile;80 Rue Principale, 08500 Anchamps;03 24 41 88 44
Optique Revinois;Opticien;Rue Victor Hugo, 08500 Revin;03 24 40 22 55
Pharmacie Centrale Revin;Pharmacie;Place Jean Moulin, 08500 Revin;03 24 40 33 22
Pharmacie de la Gare;Pharmacie;Avenue de la Gare, 08500 Revin;03 24 41 33 88
Pharmacie de Fumay;Pharmacie;Rue de la République, 08170 Fumay;03 24 41 11 33
Institut Océane Revin;Institut de Beauté;Avenue Jean Jaurès, 08500 Revin;03 24 40 12 34
Salon Création Coiffure;Coiffeur;Rue Victor Hugo, 08500 Revin;03 24 41 78 90
Cordonnerie de la Mairie;Cordonnier;Rue de la République, 08500 Revin;03 24 40 56 78
Pressing Revin Pro;Pressing;Rue Victor Hugo, 08500 Revin;03 24 40 90 12
Laverie de Fumay;Pressing;Fumay;03 24 41 34 56
Mercerie Revinoise;Mercerie;Avenue Jean Jaurès, 08500 Revin;03 24 40 55 77
Retouche Revin;Couturier;Rue de la République, 08500 Revin;03 24 41 88 44
Antiquités du secteur;Antiquaire;Revin;03 24 40 33 66
Librairie de la Mairie;Librairie;Place de la Mairie, 08500 Revin;03 24 40 22 33
Dépannage Élec Revin;Électricien;08500 Revin;06 11 33 44 55
Chauffagiste Ardennes Pro;Chauffagiste;08170 Fumay;03 24 41 11 11
Toiture Revin Pro;Couvreur;08500 Revin;03 24 40 11 11
Peintre Revinois;Peintre;08170 Haybes;03 24 41 11 11
Menuiserie du secteur;Menuisier;08230 Rocroi;03 24 54 11 11
Poissonnerie du Marché;Poissonnerie;Place Jean Moulin, 08500 Revin;03 24 40 11 11
Taxi de Fumay;Taxi;08170 Fumay;03 24 41 20 20
Taxi de Rocroi;Taxi;08230 Rocroi;03 24 54 20 30
Ambulances de l'Oise;Ambulance;08500 Revin;03 24 40 88 88
PFG Fumay;Pompes Funèbres;08170 Fumay;03 24 41 10 10
PFG Rocroi;Pompes Funèbres;08230 Rocroi;03 24 54 10 11
Café des Sports Fumay;Bar;08170 Fumay;03 24 41 22 11
Brasserie de la Mairie Rocroi;Brasserie;08230 Rocroi;03 24 54 77 44
