Nom;Activité;Adresse;Téléphone
Le Fournil de la Cathédrale;Boulangerie;Rue Saint-Romain, 76000 Rouen;02 35 71 11 22
Boucherie du Vieux Marché;Boucherie;Place du Vieux Marché, 76000 Rouen;02 35 70 44 55
Boulangerie Patisserie Lefebvre;Boulangerie;45 Rue Jeanne d'Arc, 76000 Rouen;02 35 71 55 88
Au Pain de Rouen;Boulangerie;80 Rue de la République, 76000 Rouen;02 35 07 33 44
Boucherie Centrale Rouen;Boucherie;25 Rue de l'Hôpital, 76000 Rouen;02 35 71 22 77
Fleurs de Rouen;Fleuriste;110 Rue Saint-Hilaire, 76000 Rouen;02 35 89 55 22
L'Orchidée Blanche;Fleuriste;Place de l'Hôtel de Ville, 76000 Rouen;02 35 71 11 66
Garage de la Gare Rouen;Garage Automobile;Avenue Champlain, 76000 Rouen;02 35 63 33 55
Meca Rouen Service;Garage Automobile;Rue Saint-Lazare, 76000 Rouen;02 35 70 66 22
Plomberie Rouennaise;Plombier;76000 Rouen;02 35 71 11 44
Chauffage Seine Service;Chauffagiste;76000 Rouen;02 35 62 55 99
Artisan Plombier du Centre;Plombier;76000 Rouen;06 11 22 33 44
Électricité Générale Rouen;Électricien;76000 Rouen;02 35 71 88 11
Coiffure Style Rouen;Coiffeur;30 Rue de la République, 76000 Rouen;02 35 70 22 44
Salon Espace Coiffure;Coiffeur;115 Rue Jeanne d'Arc, 76000 Rouen;02 35 71 77 66
Institut Beauté Douceur;Institut de Beauté;55 Avenue de Caen, 76100 Rouen;02 35 72 33 11
Cordonnerie de l'Hôtel de Ville;Cordonnier;90 Rue de la République, 76000 Rouen;02 35 71 66 88
Pressing du Centre;Pressing;Place de la Pucelle, 76000 Rouen;02 35 71 99 44
Laverie Rouennaise;Pressing;Rue Saint-Sever, 76100 Rouen;02 35 72 11 77
Friterie du Vieux Marché;Friterie;Place du Vieux Marché, 76000 Rouen;02 35 71 44 33
Menuiserie Rouennaise;Menuisier;76000 Rouen;02 35 71 77 22
Peinture Déco Rouen;Peintre;76000 Rouen;02 35 70 66 44
Toiture de la Seine;Couvreur;76000 Rouen;02 35 71 99 55
Taxi Rouen Pro;Taxi;76000 Rouen;02 35 88 88 88
Pompes Funèbres Générales Rouen;Pompes Funèbres;76000 Rouen;02 35 71 10 10
Boulangerie du Marché;Boulangerie;Place Voltaire, 76300 Sotteville-lès-Rouen;02 35 72 11 22
Boucherie Sottevillaise;Boucherie;Rue de la République, 76300 Sotteville-lès-Rouen;02 35 72 55 88
Garage de la Place;Garage Automobile;Place de l'Hôtel de Ville, 76300 Sotteville-lès-Rouen;02 35 72 88 44
Coiffure de Sotteville;Coiffeur;Rue Raspail, 76300 Sotteville-lès-Rouen;02 35 72 33 11
Plomberie Sottevillaise;Plombier;76300 Sotteville-lès-Rouen;02 35 72 66 55
Boulangerie de Saint-Étienne;Boulangerie;Rue de la République, 76800 Saint-Étienne-du-Rouvray;02 35 65 11 22
Boucherie Stéphanaise;Boucherie;Avenue de l'Hôtel de Ville, 76800 Saint-Étienne-du-Rouvray;02 35 65 55 88
Garage du Madrillet;Garage Automobile;Avenue du Madrillet, 76800 Saint-Étienne-du-Rouvray;02 35 65 88 44
Coiffure de l'Hôtel de Ville;Coiffeur;Saint-Étienne-du-Rouvray;02 35 65 33 11
Boulangerie du Petit-Quevilly;Boulangerie;Rue de la République, 76140 Le Petit-Quevilly;02 35 72 11 33
Boucherie Quevillaise;Boucherie;Place de la Mairie, 76140 Le Petit-Quevilly;02 35 72 55 66
Garage du Petit-Quevilly;Garage Automobile;Avenue Jean Jaurès, 76140 Le Petit-Quevilly;02 35 72 88 22
Boulangerie du Grand-Quevilly;Boulangerie;Avenue des Provinces, 76120 Le Grand-Quevilly;02 35 67 11 44
Boucherie des Provinces;Boucherie;Rue de la République, 76120 Le Grand-Quevilly;02 35 67 55 88
Garage du Grand-Quevilly;Garage Automobile;Route de Dieppe, 76120 Le Grand-Quevilly;02 35 67 88 22
Coiffure des Provinces;Coiffeur;Le Grand-Quevilly;02 35 67 33 99
Boulangerie du Village;Boulangerie;Rue de l'Église, 76130 Mont-Saint-Aignan;02 35 71 11 22
Boucherie de Mont-Saint-Aignan;Boucherie;Avenue de la Maison Blanche, 76130 Mont-Saint-Aignan;02 35 71 55 88
Garage de l'Université;Garage Automobile;Route d'Houppeville, 76130 Mont-Saint-Aignan;02 35 71 88 44
Coiffure du Village;Coiffeur;Rue de l'Église, 76130 Mont-Saint-Aignan;02 35 71 33 11
Boulangerie de Bois-Guillaume;Boulangerie;Place de la Mairie, 76230 Bois-Guillaume;02 35 60 11 33
Boucherie de Bois-Guillaume;Boucherie;Rue de la République, 76230 Bois-Guillaume;02 35 60 55 66
