Nom;Activité;Adresse;Téléphone
Le Fournil de Vandœuvre;Boulangerie;45 Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 11 22
Boulangerie Patisserie Lefevre;Boulangerie;12 Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 55 88
Au Pain de Brabois;Boulangerie;Avenue de Bourgogne, 54500 Vandœuvre-lès-Nancy;03 83 53 33 44
Boulangerie Maes;Boulangerie;15 Rue de l'Hôtel de Ville, 54500 Vandœuvre-lès-Nancy;03 83 51 88 11
Boulangerie du Village;Boulangerie;Rue du Vieux Village, 54500 Vandœuvre-lès-Nancy;03 83 51 44 66
Boucherie Centrale des Nations;Boucherie;Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 22 77
Boucherie du Marché;Boucherie;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 44 11
Boucherie Charcuterie Traiteur du Sud;Boucherie;Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 77 99
Boucherie Halal de Vandœuvre;Boucherie;Avenue de la Libération, 54500 Vandœuvre-lès-Nancy;03 83 51 11 55
Vandœuvre Fleurs;Fleuriste;110 Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 55 22
L'Orchidée Blanche;Fleuriste;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 11 66
Passion Fleurs;Fleuriste;Avenue de Bourgogne, 54500 Vandœuvre-lès-Nancy;03 83 53 88 33
Au Jardin de Brabois;Fleuriste;Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 33 99
Garage de Brabois Vandœuvre;Garage Automobile;Avenue de Bourgogne, 54500 Vandœuvre-lès-Nancy;03 83 53 33 55
Meca Vandœuvre Service;Garage Automobile;Rue Saint-Lazare, 54500 Vandœuvre-lès-Nancy;03 83 51 66 22
Garage du Vélodrome;Garage Automobile;Boulevard d'Haussonville, 54500 Vandœuvre-lès-Nancy;03 83 53 99 88
Vandœuvre Pneus Service;Garage Automobile;Route de Heillecourt, 54500 Vandœuvre-lès-Nancy;03 83 51 44 77
Carrosserie de la Marque;Carrosserie;Zone Artisanale, 54500 Vandœuvre-lès-Nancy;03 83 51 11 88
Garage de la Mairie;Garage Automobile;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 22 55
Plomberie Vandœuvre Service;Plombier;54500 Vandœuvre-lès-Nancy;03 83 51 11 44
Chauffage Marne Sud;Chauffagiste;54500 Vandœuvre-lès-Nancy;03 83 51 55 99
Artisan Plombier du secteur;Plombier;54500 Vandœuvre-lès-Nancy;06 11 22 33 44
Électricité Générale Vandœuvre;Électricien;54500 Vandœuvre-lès-Nancy;03 83 51 88 11
Elec Pro Sud Nancy Services;Électricien;54500 Vandœuvre-lès-Nancy;06 55 66 77 88
Coiffure Style Vandœuvre;Coiffeur;30 Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 22 44
Salon Espace Coiffure;Coiffeur;115 Avenue de Bourgogne, 54500 Vandœuvre-lès-Nancy;03 83 53 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 54500 Vandœuvre-lès-Nancy;03 83 51 33 11
Institut Beauté Douceur;Institut de Beauté;55 Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 33 11
Institut Ongle Passion;Institut de Beauté;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 66 88
Cordonnerie de Vandœuvre;Cordonnier;90 Boulevard de l'Europe, 54500 Vandœuvre-lès-Nancy;03 83 51 66 88
Pressing du Centre;Pressing;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 99 44
Laverie de Vandœuvre;Pressing;Rue du Général Frère, 54500 Vandœuvre-lès-Nancy;03 83 51 11 77
Friterie de la Place;Friterie;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 44 33
La Frite du Sud;Friterie;Avenue de Bourgogne, 54500 Vandœuvre-lès-Nancy;03 83 53 55 11
Le Café du Commerce;Bar/Café;Place de la Mairie, 54500 Vandœuvre-lès-Nancy;03 83 51 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 54500 Vandœuvre-lès-Nancy;03 83 51 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 54500 Vandœuvre-lès-Nancy;03 83 51 44 66
Menuiserie Vandœuvre;Menuisier;54500 Vandœuvre-lès-Nancy;03 83 51 77 22
L'Artisan du Bois Sud;Menuisier;54500 Vandœuvre-lès-Nancy;03 83 53 33 77
