Nom;Activité;Adresse;Téléphone
Le Fournil de Villers;Boulangerie;12 Rue du Général Leclerc, 02600 Villers-Cotterêts;03 23 96 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue de Soissons, 02600 Villers-Cotterêts;03 23 96 55 88
Au Pain du Château;Boulangerie;Rue de la République, 02600 Villers-Cotterêts;03 23 96 33 44
Boulangerie Maes;Boulangerie;80 Place du Docteur Mouflier, 02600 Villers-Cotterêts;03 23 96 88 11
Le Croissant d'Or;Boulangerie;Avenue de la Victoire, 02600 Villers-Cotterêts;03 23 96 44 66
Boucherie de l'Hôtel de Ville;Boucherie;15 Place du Docteur Mouflier, 02600 Villers-Cotterêts;03 23 96 22 77
Boucherie Centrale;Boucherie;25 Rue de Soissons, 02600 Villers-Cotterêts;03 23 96 44 11
Boucherie Charcuterie Cotterézienne;Boucherie;Rue du Général Leclerc, 02600 Villers-Cotterêts;03 23 96 77 99
Boucherie Traiteur de la Forêt;Boucherie;Avenue de Compiègne, 02600 Villers-Cotterêts;03 23 96 11 55
Villers Fleurs;Fleuriste;110 Rue de Soissons, 02600 Villers-Cotterêts;03 23 96 55 22
L'Orchidée de Retz;Fleuriste;Place du Docteur Mouflier, 02600 Villers-Cotterêts;03 23 96 11 66
Passion Fleurs;Fleuriste;Avenue de la Victoire, 02600 Villers-Cotterêts;03 23 96 88 33
Au Jardin de Dumas;Fleuriste;Rue de la République, 02600 Villers-Cotterêts;03 23 96 33 99
Garage de la Forêt de Retz;Garage Automobile;Avenue de Compiègne, 02600 Villers-Cotterêts;03 23 96 33 55
Meca Villers Service;Garage Automobile;Rue de l'Abbiette, 02600 Villers-Cotterêts;03 23 96 66 22
Garage de la Gare;Garage Automobile;Place de la Gare, 02600 Villers-Cotterêts;03 23 96 99 88
Villers Pneus Service;Garage Automobile;Route de Soissons, 02600 Villers-Cotterêts;03 23 96 44 77
Carrosserie Cotterézienne;Carrosserie;Zone Industrielle, 02600 Villers-Cotterêts;03 23 96 11 88
Garage du Château;Garage Automobile;Rue de la République, 02600 Villers-Cotterêts;03 23 96 22 55
Plomberie Cotterézienne;Plombier;02600 Villers-Cotterêts;03 23 96 11 44
Chauffage Retz Service;Chauffagiste;02600 Villers-Cotterêts;03 23 96 55 99
Artisan Plombier du Valois;Plombier;02600 Villers-Cotterêts;06 11 22 33 44
Électricité Générale Villers;Électricien;02600 Villers-Cotterêts;03 23 96 88 11
Elec Pro 02 Services;Électricien;02600 Villers-Cotterêts;06 55 66 77 88
