Nom;Activité;Adresse;Téléphone
Le Fournil de Clairlieu;Boulangerie;Place de la Libération, 54600 Villers-lès-Nancy;03 83 27 11 22
Boulangerie Patisserie Lefevre;Boulangerie;12 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 55 88
Au Pain de Villers;Boulangerie;80 Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 28 33 44
Boulangerie Maes;Boulangerie;15 Rue Victor Hugo, 54600 Villers-lès-Nancy;03 83 27 88 11
Boulangerie du Centre;Boulangerie;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 44 66
Boucherie Centrale de Villers;Boucherie;25 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 22 77
Boucherie du Village;Boucherie;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 44 11
Boucherie Charcuterie Traiteur de Clairlieu;Boucherie;Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 28 77 99
Boucherie Halal de Villers;Boucherie;Avenue de la Libération, 54600 Villers-lès-Nancy;03 83 27 11 55
Villers Fleurs;Fleuriste;110 Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 27 55 22
L'Orchidée Blanche;Fleuriste;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 11 66
Passion Fleurs Villers;Fleuriste;Avenue de la Libération, 54600 Villers-lès-Nancy;03 83 28 88 33
Au Jardin de Villers;Fleuriste;Rue de la République, 54600 Villers-lès-Nancy;03 83 27 33 99
Garage de la Libération;Garage Automobile;Avenue de la Libération, 54600 Villers-lès-Nancy;03 83 27 33 55
Meca Villers Service;Garage Automobile;Rue Saint-Lazare, 54600 Villers-lès-Nancy;03 83 28 66 22
Garage de Clairlieu;Garage Automobile;Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 27 99 88
Villers Pneus Service;Garage Automobile;Route de Laxou, 54600 Villers-lès-Nancy;03 83 28 44 77
Carrosserie de la Marque;Carrosserie;Zone Artisanale, 54600 Villers-lès-Nancy;03 83 27 11 88
Garage de la Mairie;Garage Automobile;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 22 55
Plomberie Villers Service;Plombier;54600 Villers-lès-Nancy;03 83 27 11 44
Chauffage Marne Ouest;Chauffagiste;54600 Villers-lès-Nancy;03 83 28 55 99
Artisan Plombier du secteur;Plombier;54600 Villers-lès-Nancy;06 11 22 33 44
Électricité Générale Villers;Électricien;54600 Villers-lès-Nancy;03 83 27 88 11
Elec Pro Nancy Services;Électricien;54600 Villers-lès-Nancy;06 55 66 77 88
Coiffure Style Villers;Coiffeur;30 Rue de la République, 54600 Villers-lès-Nancy;03 83 27 22 44
Salon Espace Coiffure;Coiffeur;115 Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 28 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 54600 Villers-lès-Nancy;03 83 27 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Libération, 54600 Villers-lès-Nancy;03 83 27 33 11
Institut Ongle Passion;Institut de Beauté;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 28 66 88
Cordonnerie de Villers;Cordonnier;90 Boulevard de Baudricourt, 54600 Villers-lès-Nancy;03 83 27 66 88
Pressing du Centre;Pressing;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 99 44
Laverie de Villers;Pressing;Rue de la République, 54600 Villers-lès-Nancy;03 83 27 11 77
Friterie de la Place;Friterie;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 44 33
La Frite du Sud;Friterie;Avenue de la Libération, 54600 Villers-lès-Nancy;03 83 28 55 11
Le Café du Commerce;Bar/Café;Place de la Mairie, 54600 Villers-lès-Nancy;03 83 27 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 54600 Villers-lès-Nancy;03 83 27 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 54600 Villers-lès-Nancy;03 83 27 44 66
Menuiserie Villers;Menuisier;54600 Villers-lès-Nancy;03 83 27 77 22
L'Artisan du Bois Sud;Menuisier;54600 Villers-lès-Nancy;03 83 28 33 77
Peinture Déco Marne;Peintre;54600 Villers-lès-Nancy;03 83 28 66 44
Artisan Peintre du secteur;Peintre;54600 Villers-lès-Nancy;03 83 27 11 33
Toiture Villers Pro;Couvreur;54600 Villers-lès-Nancy;03 83 28 99 55
Couverture du Sud Nancy;Couvreur;54600 Villers-lès-Nancy;03 83 27 11 88
Auto-École de la Mairie;Auto-école;Rue de la République, 54600 Villers-lès-Nancy;03 83 28 44 66
Taxi Villers Pro;Taxi;54600 Villers-lès-Nancy;03 83 27 88 88
Ambulances du Sud Nancéien;Ambulance;54600 Villers-lès-Nancy;03 83 28 77 88
Pompes Funèbres Générales Villers;Pompes Funèbres;54600 Villers-lès-Nancy;03 83 27 10 10
Boulangerie de Chaligny;Boulangerie;22 Rue de la République, 54230 Chaligny;03 83 27 11 22
Boucherie de Chaligny;Boucherie;40 Rue de la République, 54230 Chaligny;03 83 27 55 88
Garage de Chaligny;Garage Automobile;110 Rue de la République, 54230 Chaligny;03 83 27 88 44
Coiffure de Chaligny;Coiffeur;55 Rue de la République, 54230 Chaligny;03 83 27 33 11
Plomberie de Chaligny;Plombier;54230 Chaligny;03 83 27 66 55
Boulangerie de Maron;Boulangerie;30 Rue de la République, 54000 Maron;03 83 27 11 33
Garage de Maron;Garage Automobile;90 Avenue de la Libération, 54000 Maron;03 83 27 88 22
Coiffure de Maron;Coiffeur;60 Rue de la République, 54000 Maron;03 83 27 77 11
Boucherie de Maron;Boucherie;45 Rue de la République, 54000 Maron;03 83 27 55 66
Boulangerie de Neuves-Maisons;Boulangerie;22 Rue de la République, 54230 Neuves-Maisons;03 83 47 11 44
Boucherie de Neuves-Maisons;Boucherie;40 Rue de la République, 54230 Neuves-Maisons;03 83 47 55 88
Garage de Neuves-Maisons;Garage Automobile;80 Rue de la République, 54230 Neuves-Maisons;03 83 47 88 22
Coiffure de Neuves-Maisons;Coiffeur;60 Rue de la République, 54230 Neuves-Maisons;03 83 47 33 99
Optique Villers;Opticien;Boulevard de Baudricourt, 54600 Villers;03 83 27 22 55
Pharmacie Centrale Villers;Pharmacie;Place de la Mairie, 54600 Villers;03 83 27 33 22
Pharmacie de Clairlieu;Pharmacie;Boulevard de Baudricourt, 54600 Villers;03 83 27 33 88
Pharmacie de Chaligny;Pharmacie;Rue de la République, 54230 Chaligny;03 83 27 11 33
Institut Océane Villers;Institut de Beauté;Avenue de la Libération, 54600 Villers;03 83 27 12 34
Salon Création Coiffure;Coiffeur;Rue de la République, 54600 Villers;03 83 28 78 90
Cordonnerie de la Mairie;Cordonnier;Place de la Mairie, 54600 Villers;03 83 27 56 78
Pressing Villers Pro;Pressing;Boulevard de Baudricourt, 54600 Villers;03 83 27 90 12
Laverie de Chaligny;Pressing;Chaligny;03 83 27 34 56
Mercerie du Sud Rémois;Mercerie;Rue Pasteur, 54600 Villers;03 83 27 55 77
Retouche Villers;Couturier;Rue de la République, 54600 Villers;03 83 28 88 44
Antiquités du secteur;Antiquaire;Villers-lès-Nancy;03 83 27 33 66
Librairie de la Mairie;Librairie;Place de la Mairie, 54600 Villers;03 83 27 22 33
Dépannage Élec Villers;Électricien;54600 Villers;06 11 33 44 55
Chauffagiste Marne Pro;Chauffagiste;54230 Chaligny;03 83 27 11 11
Toiture Villers Pro;Couvreur;54600 Villers;03 83 27 11 11
Peintre Sud Nancéien;Peintre;54600 Villers;03 83 27 11 11
Menuiserie du secteur;Menuisier;54180 Houdemont;03 83 51 11 11
Poissonnerie du Marché;Poissonnerie;Place de la Mairie, 54600 Villers;03 83 27 11 11
Taxi de Chaligny;Taxi;54230 Chaligny;03 83 27 20 20
Taxi de Maron;Taxi;54000 Maron;03 83 27 20 30
Ambulances de la Marne;Ambulance;54600 Villers;03 83 28 88 88
PFG Chaligny;Pompes Funèbres;54230 Chaligny;03 83 27 10 10
PFG Neuves-Maisons;Pompes Funèbres;54230 Neuves-Maisons;03 83 47 10 11
Café des Sports Chaligny;Bar;54230 Chaligny;03 83 27 22 11
Brasserie de la Mairie Maron;Brasserie;54000 Maron;03 83 27 77 44
Coiffure de Chavigny;Coiffeur;54230 Chavigny;03 83 25 90 12
Boucherie de Chavigny;Boucherie;54230 Chavigny;03 83 25 34 56
