Nom;Activité;Adresse;Téléphone
Le Fournil de la Place;Boulangerie;12 Place d'Armes, 51300 Vitry-le-François;03 26 74 11 22
Boulangerie Patisserie Lefevre;Boulangerie;45 Rue de Frignicourt, 51300 Vitry-le-François;03 26 74 55 88
Au Pain de Vitry;Boulangerie;80 Rue Aristide Briand, 51300 Vitry-le-François;03 26 72 33 44
Boulangerie Maes;Boulangerie;15 Place de la Halle, 51300 Vitry-le-François;03 26 74 88 11
Boulangerie du Centre;Boulangerie;Rue du Pont, 51300 Vitry-le-François;03 26 74 44 66
Boucherie Centrale Vitryate;Boucherie;25 Rue de Frignicourt, 51300 Vitry-le-François;03 26 74 22 77
Boucherie du Marché;Boucherie;Place d'Armes, 51300 Vitry-le-François;03 26 74 44 11
Boucherie Charcuterie de la Marne;Boucherie;Rue Aristide Briand, 51300 Vitry-le-François;03 26 72 77 99
Boucherie Traiteur du Mail;Boucherie;Avenue du Quai des Fontaines, 51300 Vitry-le-François;03 26 74 11 55
Vitry Fleurs;Fleuriste;110 Rue de Frignicourt, 51300 Vitry-le-François;03 26 74 55 22
L'Orchidée Blanche;Fleuriste;Place d'Armes, 51300 Vitry-le-François;03 26 74 11 66
Passion Fleurs Vitry;Fleuriste;Avenue du Colonel Moll, 51300 Vitry-le-François;03 26 72 88 33
Au Jardin de Vitry;Fleuriste;Rue Aristide Briand, 51300 Vitry-le-François;03 26 74 33 99
Garage de la Gare Vitry;Garage Automobile;Avenue de la Gare, 51300 Vitry-le-François;03 26 74 33 55
Meca Vitry Service;Garage Automobile;Rue Saint-Lazare, 51300 Vitry-le-François;03 26 72 66 22
Garage de la Marne;Garage Automobile;Route de Châlons, 51300 Vitry-le-François;03 26 74 99 88
Vitry Pneus Service;Garage Automobile;Avenue Jean Jaurès, 51300 Vitry-le-François;03 26 72 44 77
Carrosserie Vitryate;Carrosserie;Zone Industrielle, 51300 Vitry-le-François;03 26 74 11 88
Garage de la République;Garage Automobile;Rue de la République, 51300 Vitry-le-François;03 26 74 22 55
Plomberie Vitryate;Plombier;51300 Vitry-le-François;03 26 74 11 44
Chauffage Marne Service;Chauffagiste;51300 Vitry-le-François;03 26 72 55 99
Artisan Plombier du secteur;Plombier;51300 Vitry-le-François;06 11 22 33 44
Électricité Générale Vitry;Électricien;51300 Vitry-le-François;03 26 74 88 11
Elec Pro Marne Services;Électricien;51300 Vitry-le-François;06 55 66 77 88
Coiffure Style Vitry;Coiffeur;30 Rue de Frignicourt, 51300 Vitry-le-François;03 26 74 22 44
Salon Espace Coiffure;Coiffeur;115 Rue Aristide Briand, 51300 Vitry-le-François;03 26 72 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 51300 Vitry-le-François;03 26 74 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue du Colonel Moll, 51300 Vitry-le-François;03 26 74 33 11
Institut Ongle Passion;Institut de Beauté;Place d'Armes, 51300 Vitry-le-François;03 26 72 66 88
Cordonnerie de Vitry;Cordonnier;90 Rue de la République, 51300 Vitry-le-François;03 26 74 66 88
Pressing du Centre;Pressing;Place d'Armes, 51300 Vitry-le-François;03 26 74 99 44
Laverie Vitryate;Pressing;Rue de Frignicourt, 51300 Vitry-le-François;03 26 74 11 77
Friterie de la Place;Friterie;Place d'Armes, 51300 Vitry-le-François;03 26 74 44 33
La Frite Vitryate;Friterie;Avenue de la Gare, 51300 Vitry-le-François;03 26 72 55 11
Le Café du Marché;Bar/Café;Place de la Halle, 51300 Vitry-le-François;03 26 74 11 88
Brasserie de la Mairie;Brasserie;Place de l'Hôtel de Ville, 51300 Vitry-le-François;03 26 74 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 51300 Vitry-le-François;03 26 72 44 66
Menuiserie Vitryate;Menuisier;51300 Vitry-le-François;03 26 74 77 22
L'Artisan du Bois;Menuisier;51300 Vitry-le-François;03 26 72 33 77
Peinture Déco Marne;Peintre;51300 Vitry-le-François;03 26 72 66 44
Artisan Peintre du secteur;Peintre;51300 Vitry-le-François;03 26 74 11 33
Toiture Vitryate;Couvreur;51300 Vitry-le-François;03 26 72 99 55
Couverture du secteur;Couvreur;51300 Vitry-le-François;03 26 74 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 51300 Vitry-le-François;03 26 72 44 66
Taxi Vitryat Pro;Taxi;51300 Vitry-le-François;03 26 74 88 88
Ambulances de la Vallée;Ambulance;51300 Vitry-le-François;03 26 72 77 88
Pompes Funèbres Générales Vitry;Pompes Funèbres;51300 Vitry-le-François;03 26 74 10 10
Boulangerie de Frignicourt;Boulangerie;22 Rue de la République, 51300 Frignicourt;03 26 74 11 22
Boucherie de Frignicourt;Boucherie;40 Rue de la République, 51300 Frignicourt;03 26 74 55 88
Garage de Frignicourt;Garage Automobile;110 Route de Saint-Dizier, 51300 Frignicourt;03 26 74 88 44
Coiffure de Frignicourt;Coiffeur;55 Rue de la République, 51300 Frignicourt;03 26 74 33 11
Plomberie de Frignicourt;Plombier;51300 Frignicourt;03 26 74 66 55
Boulangerie de Marolles;Boulangerie;30 Rue de la République, 51300 Marolles;03 26 74 11 33
Garage de Marolles;Garage Automobile;90 Route de Vitry, 51300 Marolles;03 26 74 88 22
Coiffure de Marolles;Coiffeur;60 Rue de la République, 51300 Marolles;03 26 74 77 11
Boucherie de Marolles;Boucherie;45 Rue de la République, 51300 Marolles;03 26 74 55 66
Boulangerie de Blacy;Boulangerie;22 Rue Principale, 51300 Blacy;03 26 74 11 44
Garage de Blacy;Garage Automobile;80 Rue Principale, 51300 Blacy;03 26 74 88 22
Boulangerie de Loisy;Boulangerie;30 Avenue de Vitry, 51300 Loisy-sur-Marne;03 26 74 11 66
Garage de Loisy;Garage Automobile;50 Avenue de Vitry, 51300 Loisy-sur-Marne;03 26 74 88 11
Optique Vitryat;Opticien;Rue de Frignicourt, 51300 Vitry;03 26 74 22 55
Pharmacie Centrale Vitry;Pharmacie;Place d'Armes, 51300 Vitry;03 26 74 33 22
Pharmacie de la Gare;Pharmacie;Avenue de la Gare, 51300 Vitry;03 26 72 33 88
Pharmacie de Frignicourt;Pharmacie;Rue de la République, 51300 Frignicourt;03 26 74 11 33
Institut Océane Vitry;Institut de Beauté;Avenue du Colonel Moll, 51300 Vitry;03 26 74 12 34
Salon Création Coiffure;Coiffeur;Rue de Frignicourt, 51300 Vitry;03 26 72 78 90
Cordonnerie de la Mairie;Cordonnier;Place de la Mairie, 51300 Vitry;03 26 74 56 78
Pressing Vitry Pro;Pressing;Rue de Frignicourt, 51300 Vitry;03 26 74 90 12
Laverie de Frignicourt;Pressing;Frignicourt;03 26 74 34 56
Mercerie Vitryate;Mercerie;Avenue du Colonel Moll, 51300 Vitry;03 26 72 55 77
Retouche Vitry;Couturier;Rue de la République, 51300 Vitry;03 26 74 88 44
Antiquités du secteur;Antiquaire;Vitry-le-François;03 26 74 33 66
Librairie de la Mairie;Librairie;Place de l'Hôtel de Ville, 51300 Vitry;03 26 74 22 33
Dépannage Élec Vitry;Électricien;51300 Vitry;06 11 33 44 55
Chauffagiste Marne Pro;Chauffagiste;51300 Frignicourt;03 26 74 11 11
