Nom;Activité;Adresse;Téléphone
Le Fournil du Pays de Caux;Boulangerie;12 Rue de la République, 76190 Yvetot;02 35 95 11 22
Boulangerie Patisserie Maes;Boulangerie;45 Rue du Château, 76190 Yvetot;02 35 95 55 88
Au Pain Cauchois;Boulangerie;80 Rue de la République, 76190 Yvetot;02 35 56 33 44
Boulangerie du Centre;Boulangerie;15 Place de l'Hôtel de Ville, 76190 Yvetot;02 35 95 88 11
Boulangerie de la Gare;Boulangerie;Avenue du Maréchal Foch, 76190 Yvetot;02 35 95 44 66
Boucherie Centrale Yvetotaise;Boucherie;25 Rue de la République, 76190 Yvetot;02 35 95 22 77
Boucherie du Marché;Boucherie;Place de la Mairie, 76190 Yvetot;02 35 95 44 11
Boucherie Charcuterie Traiteur;Boucherie;Rue du Château, 76190 Yvetot;02 35 56 77 99
Boucherie Halal du Caux;Boucherie;Avenue de la Gare, 76190 Yvetot;02 35 95 11 55
Yvetot Fleurs;Fleuriste;110 Rue de la République, 76190 Yvetot;02 35 95 55 22
L'Orchidée Blanche;Fleuriste;Place de l'Hôtel de Ville, 76190 Yvetot;02 35 95 11 66
Passion Fleurs;Fleuriste;Avenue du Maréchal Juin, 76190 Yvetot;02 35 56 88 33
Au Jardin d'Yvetot;Fleuriste;Rue du Château, 76190 Yvetot;02 35 95 33 99
Garage de la Gare Yvetot;Garage Automobile;Avenue de la Gare, 76190 Yvetot;02 35 95 33 55
Meca Yvetot Service;Garage Automobile;Rue Saint-Lazare, 76190 Yvetot;02 35 56 66 22
Garage du Pays de Caux;Garage Automobile;Route de Rouen, 76190 Yvetot;02 35 95 99 88
Yvetot Pneus Service;Garage Automobile;Avenue de la Libération, 76190 Yvetot;02 35 56 44 77
Carrosserie Yvetotaise;Carrosserie;Zone Industrielle, 76190 Yvetot;02 35 95 11 88
Garage de la République;Garage Automobile;Rue de la République, 76190 Yvetot;02 35 95 22 55
Plomberie Yvetotaise;Plombier;76190 Yvetot;02 35 95 11 44
Chauffage Seine Service;Chauffagiste;76190 Yvetot;02 35 56 55 99
Artisan Plombier du secteur;Plombier;76190 Yvetot;06 11 22 33 44
Électricité Générale Yvetot;Électricien;76190 Yvetot;02 35 95 88 11
Elec Pro Seine Services;Électricien;76190 Yvetot;06 55 66 77 88
Coiffure Style Yvetot;Coiffeur;30 Rue de la République, 76190 Yvetot;02 35 95 22 44
Salon Espace Coiffure;Coiffeur;115 Rue du Château, 76190 Yvetot;02 35 56 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue du Commerce, 76190 Yvetot;02 35 95 33 11
Institut Beauté Douceur;Institut de Beauté;55 Avenue de la Gare, 76190 Yvetot;02 35 95 33 11
Institut Ongle Passion;Institut de Beauté;Place de l'Hôtel de Ville, 76190 Yvetot;02 35 56 66 88
Cordonnerie d'Yvetot;Cordonnier;90 Rue de la République, 76190 Yvetot;02 35 95 66 88
Pressing du Centre;Pressing;Place de la Libération, 76190 Yvetot;02 35 95 99 44
Laverie Yvetotaise;Pressing;Rue du Château, 76190 Yvetot;02 35 95 11 77
Friterie de la Place;Friterie;Place de la Mairie, 76190 Yvetot;02 35 95 44 33
La Frite Yvetotaise;Friterie;Avenue de la Gare, 76190 Yvetot;02 35 56 55 11
Le Café du Commerce;Bar/Café;Place de la Libération, 76190 Yvetot;02 35 95 11 88
Brasserie de la Mairie;Brasserie;Place de la Mairie, 76190 Yvetot;02 35 95 99 55
Le Terminus;Bar/Café;Avenue de la Gare, 76190 Yvetot;02 35 56 44 66
Menuiserie Yvetotaise;Menuisier;76190 Yvetot;02 35 95 77 77
L'Artisan du Bois;Menuisier;76190 Yvetot;02 35 56 33 77
Peinture Déco Seine;Peintre;76190 Yvetot;02 35 56 66 44
Artisan Peintre du secteur;Peintre;76190 Yvetot;02 35 95 11 33
Toiture Yvetotaise;Couvreur;76190 Yvetot;02 35 56 99 55
Couverture du secteur;Couvreur;76190 Yvetot;02 35 95 11 88
Auto-École de la Gare;Auto-école;Avenue de la Gare, 76190 Yvetot;02 35 56 44 66
Taxi Yvetot Pro;Taxi;76190 Yvetot;02 35 95 88 88
Ambulances de la Vallée;Ambulance;76190 Yvetot;02 35 56 77 88
Pompes Funèbres Générales Yvetot;Pompes Funèbres;76190 Yvetot;02 35 95 10 10
Boulangerie de Ste-Marie;Boulangerie;22 Rue de la République, 76190 Sainte-Marie-des-Champs;02 35 95 11 22
Boucherie de Ste-Marie;Boucherie;40 Rue de la République, 76190 Sainte-Marie-des-Champs;02 35 95 55 88
Garage de Ste-Marie;Garage Automobile;110 Route de Dieppe, 76190 Sainte-Marie-des-Champs;02 35 95 88 44
Coiffure de Ste-Marie;Coiffeur;55 Rue de la République, 76190 Sainte-Marie-des-Champs;02 35 95 33 11
Plomberie de Ste-Marie;Plombier;76190 Sainte-Marie-des-Champs;02 35 95 66 55
Boulangerie de Valliquerville;Boulangerie;30 Rue de la République, 76190 Valliquerville;02 35 56 11 33
Boucherie de Valliquerville;Boucherie;45 Rue de la République, 76190 Valliquerville;02 35 56 55 66
Garage de Valliquerville;Garage Automobile;90 Avenue de la Libération, 76190 Valliquerville;02 35 56 88 22
