Nom;Activité;Adresse;Téléphone
Le Fournil de la Porte de Paris;Boulangerie;3 Rue de la Porte de Paris, 59400 Cambrai;03 27 81 11 22
Boulangerie Patisserie Lefebvre;Boulangerie;55 Rue de Cantimpré, 59400 Cambrai;03 27 81 55 88
Au Pain Cambrésien;Boulangerie;80 Rue de Lille, 59400 Cambrai;03 27 81 33 44
Boulangerie Saint-Druon;Boulangerie;12 Place Aristide Briand, 59400 Cambrai;03 27 81 88 11
Boucherie de la Cathédrale;Boucherie;25 Rue du Marché aux Poissons, 59400 Cambrai;03 27 81 22 77
Boucherie Centrale;Boucherie;90 Rue de Lille, 59400 Cambrai;03 27 81 44 99
Boucherie du Centre;Boucherie;15 Rue du Grand Séminaire, 59400 Cambrai;03 27 81 77 33
Cambrai Fleurs;Fleuriste;55 Rue de Paris, 59400 Cambrai;03 27 81 55 22
L'Art et la Fleur;Fleuriste;14 Place du 9 Octobre, 59400 Cambrai;03 27 81 11 88
Le Jardin Cambrésien;Fleuriste;88 Mail Saint-Martin, 59400 Cambrai;03 27 81 88 33
Garage de la Porte Notre-Dame;Garage Automobile;150 Avenue de Valenciennes, 59400 Cambrai;03 27 81 33 55
Meca Service Cambrésis;Garage Automobile;44 Boulevard de la Liberté, 59400 Cambrai;03 27 81 66 22
Carrosserie du Cambrésis;Carrosserie;Zone d'Activité de Cantimpré, 59400 Cambrai;03 27 81 99 88
Plomberie du Cambrésis;Plombier;59400 Cambrai;03 27 81 11 44
Chauffage Cambrésien;Chauffagiste;59400 Cambrai;03 27 81 55 99
Artisan Plombier Cambrai;Plombier;59400 Cambrai;06 44 55 66 88
Électricité Générale du Cambrésis;Électricien;59400 Cambrai;03 27 81 88 11
Coiffure de la Place;Coiffeur;30 Place Aristide Briand, 59400 Cambrai;03 27 81 22 44
Salon de Lille;Coiffeur;105 Rue de Lille, 59400 Cambrai;03 27 81 77 66
Institut de Beauté de Fénelon;Institut de Beauté;65 Rue de l'Arbre d'Or, 59400 Cambrai;03 27 81 33 11
Cordonnerie du Marché;Cordonnier;40 Rue du Marché aux Poissons, 59400 Cambrai;03 27 81 66 88
Pressing de la Victoire;Pressing;12 Place du 11 Novembre, 59400 Cambrai;03 27 81 99 44
Friterie La Cambrésienne;Friterie;Place Aristide Briand, 59400 Cambrai;03 27 81 44 33
La Frite du Nord;Friterie;Rue de Lille, 59400 Cambrai;03 27 81 55 11
