Nom;Activité;Adresse;Téléphone
Le Fournil de la Place;Boulangerie;25 Place d'Armes, 59500 Douai;03 27 88 11 22
Boulangerie Patisserie Watterlot;Boulangerie;145 Rue de Paris, 59500 Douai;03 27 88 55 44
Au Pain Doré;Boulangerie;80 Rue de la Mairie, 59500 Douai;03 27 88 33 88
Boulangerie Saint-Jacques;Boulangerie;42 Rue Saint-Jacques, 59500 Douai;03 27 88 99 11
La Mie Douaisienne;Boulangerie;75 Rue de Bellain, 59500 Douai;03 27 88 66 55
Boucherie du Marché;Boucherie;Place du Marché aux Poissons, 59500 Douai;03 27 88 22 77
Boucherie Centrale;Boucherie;95 Rue de Paris, 59500 Douai;03 27 88 44 11
Boucherie de la Cloche;Boucherie;12 Rue de la Cloche, 59500 Douai;03 27 88 77 99
Fleurs d'Artois;Fleuriste;110 Rue d'Arras, 59500 Douai;03 27 88 55 22
Le Jardin des Géants;Fleuriste;Place d'Armes, 59500 Douai;03 27 88 11 66
Douai Fleurs;Fleuriste;60 Rue de la Mairie, 59500 Douai;03 27 88 88 33
Garage de la Scarpe;Garage Automobile;44 Boulevard de la Scarpe, 59500 Douai;03 27 88 33 55
Meca Service Douai;Garage Automobile;150 Rue de Valenciennes, 59500 Douai;03 27 88 66 22
Carrosserie Douaisienne;Carrosserie;Zone Industrielle Dorignies, 59500 Douai;03 27 88 99 88
Auto Express 59;Garage Automobile;85 Rue de Lille, 59500 Douai;03 27 88 44 77
Plomberie du Nord;Plombier;59500 Douai;03 27 88 11 44
Chauffage Douaisien;Chauffagiste;59500 Douai;03 27 88 55 99
Artisan Plombier Douai;Plombier;59500 Douai;06 33 22 11 44
Électricité Générale Douaisienne;Électricien;59500 Douai;03 27 88 88 11
Elec Pro Douai;Électricien;59500 Douai;06 44 55 66 77
Coiffure de la Place;Coiffeur;30 Place d'Armes, 59500 Douai;03 27 88 22 44
Salon de Paris;Coiffeur;115 Rue de Paris, 59500 Douai;03 27 88 77 66
L'Atelier Beauté;Institut de Beauté;55 Rue de la Mairie, 59500 Douai;03 27 88 33 11
Cordonnerie de la Mairie;Cordonnier;90 Rue de la Mairie, 59500 Douai;03 27 88 66 88
Pressing de la Place d'Armes;Pressing;18 Place d'Armes, 59500 Douai;03 27 88 99 44
Laverie de la Scarpe;Pressing;25 Boulevard de la Scarpe, 59500 Douai;03 27 88 11 77
Friterie des Géants;Friterie;Place d'Armes, 59500 Douai;03 27 88 44 33
La Frite d'Or;Friterie;Rue de la Mairie, 59500 Douai;03 27 88 55 11
Le Gayant;Friterie;Boulevard de la Scarpe, 59500 Douai;03 27 88 22 99
Menuiserie Douaisienne;Menuisier;59500 Douai;03 27 88 77 22
Peinture et Déco 59;Peintre;59500 Douai;03 27 88 33 77
Toiture du Douaisis;Couvreur;59500 Douai;03 27 88 66 44
Brasserie Le Commerce;Brasserie;Place du Marché, 59500 Douai;03 27 88 99 55
Café de la Gare;Bar/Café;Place de la Gare, 59500 Douai;03 27 88 11 88
