nom;activite;adresse;telephone;note;cibleSansSiteWeb;websiteUrl;mapsLink;photoUrl;metierSource;fichierSource;categorieMaps
"""Lav'Clean"" (La Laverie du coin)";Entreprise de nettoyage;;+33 6 50 54 58 04;4,2;oui;;https://www.google.com/maps/place/%22Lav%27Clean%22+%28La+Laverie+du+coin%29/data=!4m7!3m6!1s0x47dc8c4e65bf2169:0x3575b8e59a10f667!8m2!3d51.0419206!4d2.4052365!16s%2Fg%2F11bzzg8tls!19sChIJaSG_ZU6M3EcRZ_YQmuW4dTU?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Entreprise de nettoyage;Entreprise de nettoyage.csv;Laverie automatique
"""Mano a Mano"" par Michèle Fischietti et Christine Decoux";massage;;;5,0;oui;;https://www.google.com/maps/place/%22Mano+a+Mano%22+par+Mich%C3%A8le+Fischietti+et+Christine+Decoux/data=!4m7!3m6!1s0x47dc8d55b9b343ff:0x17e791772259550a!8m2!3d51.0271181!4d2.3303745!16s%2Fg%2F11vchl8nc_!19sChIJ_0OzuVWN3EcRClVZIneR5xc?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweqzdbdXFF2U0_LysmfYkQdi_8A-W5KBbm3LxBiZOWkmdj-fk8RWLEe6KaFQcCcaDOpy9dm-Hx0qxCtqzvegSXksZp87hUS-8VpKKH65hWi3BCUCAWam1HI9hGx7dj3DRRHagHM=w122-h92-k-no;massage;massage.csv;Réflexologue
...;Boulangerie;;;3,6;oui;;https://www.google.com/maps/place/.../data=!4m7!3m6!1s0x47dc8c4137e1326b:0xacf9a3dded1a732e!8m2!3d51.0467094!4d2.3934491!16s%2Fg%2F1thq93qy!19sChIJazLhN0GM3EcRLnMa7d2j-aw?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweqVFKRLCpiRYplHpfAPPKC1-w3XDJZfhkrtU_sJ2JfIWkekfjLhbkc0lI1qXAaijH3cjOM9mY7O7NMHRn5xbY6HvHKyX07K_cw1Yf6bGPODvqTlTL5fuQ8GkEvGs6bn5YTocKJ1=w122-h92-k-no;Boulangerie;Boulangerie.csv;Boulangerie
100 PERMIS;Climatisation | Garage;;+33 3 28 63 02 00;4,2;oui;;https://www.google.com/maps/place/100+PERMIS/data=!4m7!3m6!1s0x47dc8c87722ccdf3:0x858067c1bd12120a!8m2!3d51.0289691!4d2.3712485!16s%2Fg%2F11b6dpyzzw!19sChIJ880scoeM3EcRChISvcFngIU?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Climatisation | Garage;Climatisation.csv | Garage.csv;Atelier de réparation automobile
123 Pare-Brise Dunkerque;Garage;;+33 9 82 99 10 80;4,9;non;https://www.123parebrise.fr/centre-dunkerque/?mtm_campaign=seo_local&mtm_medium=clic_site&mtm_placement=GMB_Dunkerque&mtm_source=gmb;https://www.google.com/maps/place/123+Pare-Brise+Dunkerque/data=!4m7!3m6!1s0x47dc8b79efa10541:0x5e9beb91d36452af!8m2!3d51.0259078!4d2.3515272!16s%2Fg%2F11c1wzxtt2!19sChIJQQWh73mL3EcRr1Jk05Hrm14?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Garage;Garage.csv;Service de réparation de pare-brise
19th Avenue;Coiffeur;;;4,7;oui;;https://www.google.com/maps/place/19th+Avenue/data=!4m7!3m6!1s0x47dc8c446195b9d3:0xbdb17f34970e1d4a!8m2!3d51.0427304!4d2.3952324!16s%2Fg%2F11f4ldy0j5!19sChIJ07mVYUSM3EcRSh0OlzR_sb0?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAwepAeC7rCu_jxsBhibSSmPb6eQRIrvYvnC0prSKyxjxu70rlPT7tKavy2gbIVhBSHzNo77wkB3Fp-prY5gC2wVrkEoXVPne1JV5ovk6mPLV6LMgc2k11z4vcg84qucaCNmOpX5hc=w476-h92-k-no;Coiffeur;Coiffeur.csv;Salon de coiffure
2Ai Cabinet d'ingénierie;Paysagiste;;+33 3 28 27 34 57;4,5;non;http://www.2ai.fr/;https://www.google.com/maps/place/2Ai+Cabinet+d%27ing%C3%A9nierie/data=!4m7!3m6!1s0x47dc8b9c06b3d3d1:0x45990e530775aac3!8m2!3d51.0351004!4d2.4049434!16s%2Fg%2F1pp2vc70v!19sChIJ0dOzBpyL3EcRw6p1B1MOmUU?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Paysagiste;Paysagiste.csv;Consultant en ingénierie
3 Brasseurs Dunkerque;Restaurant | bar;;;4,0;oui;;https://www.google.com/maps/place/3+Brasseurs+Dunkerque/data=!4m7!3m6!1s0x47dc8c63690be17f:0xa9d141658e5d3e8b!8m2!3d51.0341416!4d2.3712427!16s%2Fg%2F1tfk_gw0!19sChIJf-ELaWOM3EcRiz5djmVB0ak?authuser=0&hl=fr&rclk=1;https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxfYDwNaxyz8lwtn8NY_1zTkRBRHk_ix7StooxnGqkxeMEj52VGPm9jUQaOV8rxkCsiK5fcvMoiDO9lwX2dlrkEj0L4fKEgdzAeetOZpiOqdTk6CZQePD8r--jiAm5t11G3B2C=w80-h96-k-no;Restaurant | bar;Restaurant.csv | bar.csv;Restaurant | Bar
3CM Connect;electricien;;+33 3 28 66 60 60;4,3;non;http://www.antenne-dunkerque-3cmconnect.fr/;https://www.google.com/maps/place/3CM+Connect/data=!4m7!3m6!1s0x47dc8c4e2e5ba6d1:0x3eed5e37fe9213a!8m2!3d51.0405343!4d2.4032851!16s%2Fg%2F11b7r55yr2!19sChIJ0aZbLk6M3EcROiHpf-PV7gM?authuser=0&hl=fr&rclk=1;;electricien;electricien.csv;Entretien d'antennes
3D MOTOCULTURE - Vente et entretien d'équipements paysagers;Paysagiste;;+33 3 28 20 92 00;4,7;non;https://www.3d-motoculture.fr/;https://www.google.com/maps/place/3D+MOTOCULTURE+-+Vente+et+entretien+d%27%C3%A9quipements+paysagers/data=!4m7!3m6!1s0x47dcf3b058dd4eb3:0xfd69c14bfa543157!8m2!3d50.951809!4d2.430476!16s%2Fg%2F11gmgf1fls!19sChIJs07dWLDz3EcRVzFU-kvBaf0?authuser=0&hl=fr&rclk=1;https://ssl.gstatic.com/local/servicebusiness/default_user.png;Paysagiste;Paysagiste.csv;Magasin de matériel de motoculture
