Nom;Activité;Adresse;Téléphone
Boulangerie Patisserie Delplace;Boulangerie;18 Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 40 46
Le Fournil Frugeois;Boulangerie;Rue du Marais, 62310 Fruges;03 21 04 11 22
Au Bon Pain de Fruges;Boulangerie;Rue de Saint-Omer, 62310 Fruges;03 21 04 55 88
Boucherie Charcuterie Frugeoise;Boucherie;12 Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 41 12
Boucherie du Centre;Boucherie;Rue du Fort, 62310 Fruges;03 21 04 22 77
Boucherie de l'Haut-Pays;Boucherie;Rue de Saint-Omer, 62310 Fruges;03 21 04 88 44
Fleurs et Passion;Fleuriste;5 Place de l'Hôtel de Ville, 62310 Fruges;03 21 41 11 33
L'Art et la Fleur Frugeoise;Fleuriste;Rue de Saint-Omer, 62310 Fruges;03 21 04 99 11
Garage de l'Agriculture;Garage Automobile;Rue du Marais, 62310 Fruges;03 21 04 43 25
Meca Fruges Service;Garage Automobile;Route de Saint-Omer, 62310 Fruges;03 21 04 12 55
Garage du Haut-Pays;Garage Automobile;Rue de l'Abbé Suty, 62310 Fruges;03 21 04 66 88
Carrosserie Frugeoise;Carrosserie;Rue du Fort, 62310 Fruges;03 21 04 77 44
Plomberie Chauffage Frugeois;Plombier;62310 Fruges;03 21 04 55 66
Chauffage Service Haut-Pays;Chauffagiste;62310 Fruges;03 21 04 11 88
Artisan Plombier du secteur;Plombier;62310 Fruges;06 11 22 33 44
Électricité Générale Frugeoise;Électricien;62310 Fruges;03 21 04 88 11
Elec Pro Fruges;Électricien;62310 Fruges;06 88 99 00 11
Coiffure Martine;Coiffeur;Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 44 22
Salon de Coiffure Sylvie;Coiffeur;Rue de Saint-Omer, 62310 Fruges;03 21 04 11 44
L'Atelier de Coiffure;Coiffeur;Rue du Marais, 62310 Fruges;03 21 41 22 88
Institut de Beauté Douceur;Institut de Beauté;Rue du Fort, 62310 Fruges;03 21 04 55 11
Cordonnerie Frugeoise;Cordonnier;Rue de Saint-Omer, 62310 Fruges;03 21 04 22 11
Restaurant Le Central;Restaurant;Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 77 44
Café de la Mairie;Bar/Café;Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 11 99
Friterie Frugeoise;Friterie;Rue de Saint-Omer, 62310 Fruges;03 21 04 99 33
Menuiserie du Haut-Pays;Menuisier;62310 Fruges;03 21 04 77 22
Peinture et Déco 62;Peintre;62310 Fruges;03 21 04 33 77
Toiture Frugeoise;Couvreur;62310 Fruges;03 21 04 66 44
Auto-École de Fruges;Auto-école;Rue du Marais, 62310 Fruges;03 21 04 44 66
Boulangerie de Coupelle-Vieille;Boulangerie;62310 Coupelle-Vieille;03 21 04 11 22
Boucherie de Coupelle;Boucherie;62310 Coupelle-Vieille;03 21 04 55 88
Garage de Coupelle-Vieille;Garage Automobile;62310 Coupelle-Vieille;03 21 04 88 44
Coiffure de Coupelle;Coiffeur;62310 Coupelle-Vieille;03 21 04 33 11
Plomberie de Coupelle;Plombier;62310 Coupelle-Vieille;03 21 04 66 55
Boulangerie de Coupelle-Neuve;Boulangerie;62310 Coupelle-Neuve;03 21 04 11 33
Garage de Coupelle-Neuve;Garage Automobile;62310 Coupelle-Neuve;03 21 04 88 22
Boulangerie de Verchin;Boulangerie;62310 Verchin;03 21 04 11 44
Boucherie de Verchin;Boucherie;62310 Verchin;03 21 04 55 88
Auberge de Verchin;Restaurant;62310 Verchin;03 21 04 88 22
Coiffure de Verchin;Coiffeur;62310 Verchin;03 21 04 33 99
Plomberie de Verchin;Plombier;62310 Verchin;03 21 04 66 11
Boulangerie de Crépy;Boulangerie;62310 Crépy;03 21 04 11 22
Boucherie de Crépy;Boucherie;62310 Crépy;03 21 04 55 88
Garage de Crépy;Garage Automobile;62310 Crépy;03 21 04 88 44
Coiffure de Crépy;Coiffeur;62310 Crépy;03 21 04 33 11
Plomberie de Crépy;Plombier;62310 Crépy;03 21 04 66 55
Boulangerie de Senlis;Boulangerie;62310 Senlis;03 21 04 11 66
Boucherie de Senlis;Boucherie;62310 Senlis;03 21 04 55 33
Garage de Senlis;Garage Automobile;62310 Senlis;03 21 04 88 11
Taxi Frugeois;Taxi;62310 Fruges;03 21 04 03 03
Taxi du Haut-Pays;Taxi;62310 Fruges;06 11 22 33 44
Ambulances Frugeoises;Ambulance;62310 Fruges;03 21 04 88 88
Pompes Funèbres Générales Fruges;Pompes Funèbres;62310 Fruges;03 21 41 10 10
Mercerie de Fruges;Mercerie;Rue de Saint-Omer, 62310 Fruges;03 21 04 55 77
Retouche Frugeoise;Couturier;Rue du Marais, 62310 Fruges;03 21 41 88 44
Cordonnerie du Haut-Pays;Cordonnier;Rue du Fort, 62310 Fruges;03 21 04 22 99
Menuiserie Frugeoise;Menuisier;62310 Coupelle-Vieille;03 21 04 88 11
Peinture Déco Fruges;Peintre;62310 Verchin;03 21 04 44 22
Café des Sports;Bar/Café;62310 Crépy;03 21 04 22 11
Brasserie du Haut-Pays;Brasserie;62310 Fruges;03 21 41 77 44
Optique Frugeoise;Opticien;Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 22 55
Pharmacie Centrale;Pharmacie;Place de l'Hôtel de Ville, 62310 Fruges;03 21 04 33 22
Pharmacie de Fruges;Pharmacie;Rue de Saint-Omer, 62310 Fruges;03 21 04 33 88
Garage Saint-Eloi Auto;Garage Automobile;62310 Fruges;03 21 04 56 78
Coupelle Pneus;Garage Automobile;62310 Coupelle-Vieille;03 21 04 90 12
Salon Création Coiffure;Coiffeur;Rue de Saint-Omer, 62310 Fruges;03 21 04 78 90
Institut Océane;Institut de Beauté;Rue du Marais, 62310 Fruges;03 21 41 12 34
Boulangerie du Faubourg;Boulangerie;62310 Fruges;03 21 04 12 34
