Nom;Activité;Adresse;Téléphone
Le Fournil de la Place d'Armes;Boulangerie;30 Place d'Armes, 59300 Valenciennes;03 27 46 11 22
Boulangerie Patisserie Legrand;Boulangerie;112 Avenue de Verdun, 59300 Valenciennes;03 27 46 55 88
Au Pain Croquant;Boulangerie;75 Rue de Paris, 59300 Valenciennes;03 27 46 33 44
Boulangerie Saint-Géry;Boulangerie;22 Rue de la Vieille Poissonnerie, 59300 Valenciennes;03 27 46 88 11
La Mie Câline Valenciennes;Boulangerie;Place d'Armes, 59300 Valenciennes;03 27 46 66 55
Boucherie du Marché;Boucherie;25 Rue du Quesnoy, 59300 Valenciennes;03 27 46 22 77
Boucherie Centrale;Boucherie;90 Avenue de Verdun, 59300 Valenciennes;03 27 46 44 99
Boucherie de l'Hôtel de Ville;Boucherie;Place d'Armes, 59300 Valenciennes;03 27 46 77 33
Valenciennes Fleurs;Fleuriste;55 Rue de Paris, 59300 Valenciennes;03 27 46 55 22
L'Écrin Floral;Fleuriste;14 Rue de la Paix, 59300 Valenciennes;03 27 46 11 88
Le Jardin d'Eden;Fleuriste;88 Avenue de Verdun, 59300 Valenciennes;03 27 46 88 33
Garage de l'Avenue;Garage Automobile;150 Avenue de Denain, 59300 Valenciennes;03 27 46 33 55
Meca Valenciennes;Garage Automobile;44 Boulevard Saly, 59300 Valenciennes;03 27 46 66 22
Carrosserie du Hainaut;Carrosserie;Zone Industrielle n°4, 59300 Valenciennes;03 27 46 99 88
Auto Service 59;Garage Automobile;70 Rue de Lille, 59300 Valenciennes;03 27 46 44 77
Plomberie Valenciennoise;Plombier;59300 Valenciennes;03 27 46 11 44
Chauffage Hainaut Service;Chauffagiste;59300 Valenciennes;03 27 46 55 99
Artisan Plombier Valenciennes;Plombier;59300 Valenciennes;06 11 22 44 55
Électricité Générale du Hainaut;Électricien;59300 Valenciennes;03 27 46 88 11
Elec Pro Valenciennes;Électricien;59300 Valenciennes;06 55 66 77 88
Coiffure de la Place d'Armes;Coiffeur;28 Place d'Armes, 59300 Valenciennes;03 27 46 22 44
Salon de Verdun;Coiffeur;105 Avenue de Verdun, 59300 Valenciennes;03 27 46 77 66
L'Institut;Institut de Beauté;65 Rue de Paris, 59300 Valenciennes;03 27 46 33 11
Cordonnerie du Centre;Cordonnier;40 Rue de la Paix, 59300 Valenciennes;03 27 46 66 88
Pressing de la Place d'Armes;Pressing;12 Place d'Armes, 59300 Valenciennes;03 27 46 99 44
Laverie Saly;Pressing;30 Boulevard Saly, 59300 Valenciennes;03 27 46 11 77
Friterie Chez Momo;Friterie;Place du Marché aux Herbes, 59300 Valenciennes;03 27 46 44 33
La Frite à Dorer;Friterie;Avenue de Verdun, 59300 Valenciennes;03 27 46 55 11
La Ch'tite Frite;Friterie;Rue de Paris, 59300 Valenciennes;03 27 46 22 99
Menuiserie du Hainaut;Menuisier;59300 Valenciennes;03 27 46 77 22
Peinture Décoration Valenciennes;Peintre;59300 Valenciennes;03 27 46 33 77
Couverture Valenciennoise;Couvreur;59300 Valenciennes;03 27 46 66 44
Brasserie Le Royal;Brasserie;Place d'Armes, 59300 Valenciennes;03 27 46 99 55
Café de la Poste;Bar/Café;Rue de la Poste, 59300 Valenciennes;03 27 46 11 88
Auto-École de Valenciennes;Auto-école;Boulevard Watteau, 59300 Valenciennes;03 27 46 44 66
Le Fournil Anzinois;Boulangerie;33 Rue Jean Jaurès, 59410 Anzin;03 27 47 11 22
Boulangerie du Centre;Boulangerie;15 Place Roger Salengro, 59410 Anzin;03 27 47 55 88
Boucherie d'Anzin;Boucherie;45 Rue Jean Jaurès, 59410 Anzin;03 27 47 88 44
Garage Jean Jaurès;Garage Automobile;120 Rue Jean Jaurès, 59410 Anzin;03 27 47 33 11
Coiffure Anzinoise;Coiffeur;60 Rue Jean Jaurès, 59410 Anzin;03 27 47 66 55
Plomberie d'Anzin;Plombier;59410 Anzin;03 27 47 99 22
Friterie d'Anzin;Friterie;Place Roger Salengro, 59410 Anzin;03 27 47 44 99
Boulangerie Marlysienne;Boulangerie;50 Avenue Henri Barbusse, 59770 Marly;03 27 45 11 33
Boucherie de Marly;Boucherie;65 Avenue Henri Barbusse, 59770 Marly;03 27 45 55 66
Marly Fleurs;Fleuriste;30 Avenue Henri Barbusse, 59770 Marly;03 27 45 88 22
Garage de la Rhonelle;Garage Automobile;110 Avenue Henri Barbusse, 59770 Marly;03 27 45 33 99
Coiffure de Marly;Coiffeur;75 Avenue Henri Barbusse, 59770 Marly;03 27 45 77 11
Plomberie Marlysienne;Plombier;59770 Marly;03 27 45 22 55
Friterie La Marlysienne;Friterie;Place de la Mairie, 59770 Marly;03 27 45 44 33
Boulangerie du Campus;Boulangerie;22 Rue des Frères Lumière, 59313 Aulnoy-lez-Valenciennes;03 27 28 11 22
Boucherie Aulnésienne;Boucherie;40 Rue Henri Matisse, 59313 Aulnoy-lez-Valenciennes;03 27 28 55 88
Garage d'Aulnoy;Garage Automobile;90 Rue Jean-Sébastien Bach, 59313 Aulnoy-lez-Valenciennes;03 27 28 88 44
Coiffure d'Aulnoy;Coiffeur;55 Rue Henri Matisse, 59313 Aulnoy-lez-Valenciennes;03 27 28 33 11
Plomberie Aulnésienne;Plombier;59313 Aulnoy-lez-Valenciennes;03 27 28 66 55
Boulangerie Forestière;Boulangerie;33 Rue Jean Jaurès, 59125 Petite-Forêt;03 27 43 11 22
Boucherie de Petite-Forêt;Boucherie;48 Rue Jean Jaurès, 59125 Petite-Forêt;03 27 43 55 88
Garage de Petite-Forêt;Garage Automobile;105 Rue Jean Jaurès, 59125 Petite-Forêt;03 27 43 88 44
Coiffure de la Forêt;Coiffeur;60 Rue Jean Jaurès, 59125 Petite-Forêt;03 27 43 33 11
Plomberie Forestière;Plombier;59125 Petite-Forêt;03 27 43 66 55
Boulangerie Saint-Saulvienne;Boulangerie;25 Rue Jean Jaurès, 59880 Saint-Saulve;03 27 42 11 33
Boucherie de Saint-Saulve;Boucherie;40 Rue Jean Jaurès, 59880 Saint-Saulve;03 27 42 55 66
Saint-Saulve Fleurs;Fleuriste;15 Rue Jean Jaurès, 59880 Saint-Saulve;03 27 42 88 22
Garage de Saint-Saulve;Garage Automobile;95 Rue Jean Jaurès, 59880 Saint-Saulve;03 27 42 33 99
Coiffure Saint-Saulvienne;Coiffeur;55 Rue Jean Jaurès, 59880 Saint-Saulve;03 27 42 77 11
Plomberie Saint-Saulvienne;Plombier;59880 Saint-Saulve;03 27 42 22 55
Friterie de Saint-Saulve;Friterie;Place de l'Église, 59880 Saint-Saulve;03 27 42 44 33
Taxi Valenciennois;Taxi;59300 Valenciennes;03 27 46 46 46
Taxi de la Gare;Taxi;59300 Valenciennes;06 22 33 55 66
Taxi d'Anzin;Taxi;59410 Anzin;03 27 47 47 47
Ambulances du Hainaut;Ambulance;59300 Valenciennes;03 27 46 88 88
Ambulances de Marly;Ambulance;59770 Marly;03 27 45 45 45
Ambulances d'Aulnoy;Ambulance;59313 Aulnoy-lez-Valenciennes;03 27 28 28 28
Pompes Funèbres Générales Valenciennes;Pompes Funèbres;59300 Valenciennes;03 27 46 10 10
PFG Anzin;Pompes Funèbres;59410 Anzin;03 27 47 10 10
PFG Marly;Pompes Funèbres;59770 Marly;03 27 45 10 10
PFG Aulnoy-lez-Valenciennes;Pompes Funèbres;59313 Aulnoy-lez-Valenciennes;03 27 28 10 10
PFG Petite-Forêt;Pompes Funèbres;59125 Petite-Forêt;03 27 43 10 10
PFG Saint-Saulve;Pompes Funèbres;59880 Saint-Saulve;03 27 42 10 10
Librairie Vauban;Librairie Indépendante;Rue de la Paix, 59300 Valenciennes;03 27 46 22 33
Mercerie du Hainaut;Mercerie;Rue de Paris, 59300 Valenciennes;03 27 46 55 77
Retouche Valenciennes;Couturier;Avenue de Verdun, 59300 Valenciennes;03 27 46 88 44
Antiquités du Hainaut;Antiquaire;Rue du Quesnoy, 59300 Valenciennes;03 27 46 33 66
Cordonnerie d'Anzin;Cordonnier;Rue Jean Jaurès, 59410 Anzin;03 27 47 22 99
Pressing Marlysien;Pressing;Avenue Henri Barbusse, 59770 Marly;03 27 45 77 88
Couverture Anzinoise;Couvreur;59410 Anzin;03 27 47 55 33
Menuiserie Marlysienne;Menuisier;59770 Marly;03 27 45 88 11
Peinture Déco Saint-Saulve;Peintre;59880 Saint-Saulve;03 27 42 44 22
Friterie Barbusse;Friterie;Avenue Henri Barbusse, 59770 Marly;03 27 45 22 11
Café des Sports;Bar/Café;Rue Jean Jaurès, 59410 Anzin;03 27 47 22 11
Brasserie de la Mairie;Brasserie;Place de la Mairie, 59770 Marly;03 27 45 77 44
Optique du Centre;Opticien;Place d'Armes, 59300 Valenciennes;03 27 46 22 55
Pharmacie Centrale;Pharmacie;Place d'Armes, 59300 Valenciennes;03 27 46 33 22
Pharmacie d'Anzin;Pharmacie;Place Roger Salengro, 59410 Anzin;03 27 47 33 88
Optique Marly;Opticien;Avenue Henri Barbusse, 59770 Marly;03 27 45 33 66
Boulangerie du Vignoble;Boulangerie;Rue du Vignoble, 59300 Valenciennes;03 27 46 12 34
Le Fournil du Faubourg;Boulangerie;Rue du Faubourg de Paris, 59300 Valenciennes;03 27 46 56 78
Boucherie du Roleur;Boucherie;Rue du Roleur, 59300 Valenciennes;03 27 46 90 12
Boucherie Anzinoise;Boucherie;Avenue de la Libération, 59410 Anzin;03 27 47 34 56
Fleurs et Senteurs;Fleuriste;Avenue de Denain, 59300 Valenciennes;03 27 46 78 90
Anzin Floral;Fleuriste;Rue Jean Jaurès, 59410 Anzin;03 27 47 12 34
Garage Saint-Michel;Garage Automobile;Rue Saint-Michel, 59410 Anzin;03 27 47 56 78
Marly Pneus;Garage Automobile;Rue des Fusillés, 59770 Marly;03 27 45 90 12
Coiffure Tendance;Coiffeur;Rue de la Paix, 59300 Valenciennes;03 27 46 34 56
Salon Création;Coiffeur;Rue Jean Jaurès, 59410 Anzin;03 27 47 78 90
Institut Océane;Institut de Beauté;Avenue Henri Barbusse, 59770 Marly;03 27 45 12 34
Cordonnerie de la Paix;Cordonnier;Rue de la Paix, 59300 Valenciennes;03 27 46 56 78
Pressing du Hainaut;Pressing;Avenue de Verdun, 59300 Valenciennes;03 27 46 90 12
Laverie d'Anzin;Pressing;Rue Jean Jaurès, 59410 Anzin;03 27 47 34 56
