Nom;Activité;Adresse;Téléphone
Boulangerie Au Croissant Doré;Boulangerie;45 Rue Carnot, 59150 Wattrelos;03 20 75 11 44
Le Fournil de la Mousserie;Boulangerie;Rue de la Mousserie, 59150 Wattrelos;03 20 75 55 88
Boulangerie Patisserie Maes;Boulangerie;80 Rue Jean Jaurès, 59150 Wattrelos;03 20 75 33 22
Au Pain de Wattrelos;Boulangerie;115 Rue des Poilus, 59150 Wattrelos;03 20 75 88 11
Boulangerie du Laboureur;Boulangerie;Rue du Laboureur, 59150 Wattrelos;03 20 75 44 66
Boucherie de la Place;Boucherie;Place de la République, 59150 Wattrelos;03 20 75 22 77
Boucherie Centrale;Boucherie;95 Rue Carnot, 59150 Wattrelos;03 20 75 44 11
Boucherie de l'Union;Boucherie;Rue de l'Union, 59150 Wattrelos;03 20 75 77 99
Boucherie Halal de la Mousserie;Boucherie;Rue de la Mousserie, 59150 Wattrelos;03 20 75 11 55
Boucherie Traiteur Wattrelosien;Boucherie;Rue Jean Jaurès, 59150 Wattrelos;03 20 75 99 33
Vert Passion;Fleuriste;110 Rue Voltaire, 59150 Wattrelos;03 20 75 55 22
Au Bouton d'Or;Fleuriste;Place de la République, 59150 Wattrelos;03 20 75 11 66
Wattrelos Fleurs;Fleuriste;60 Rue de la Mairie, 59150 Wattrelos;03 20 75 88 33
Passion Fleurs;Fleuriste;Rue des Poilus, 59150 Wattrelos;03 20 75 33 99
Garage Wattrelos Auto Passion;Garage Automobile;150 Rue Jean Jaurès, 59150 Wattrelos;03 20 75 33 55
Meca Wattrelos Service;Garage Automobile;44 Rue de l'Union, 59150 Wattrelos;03 20 75 66 22
Garage du Laboureur;Garage Automobile;Rue du Laboureur, 59150 Wattrelos;03 20 75 99 88
Wattrelos Pneus;Garage Automobile;85 Rue de Lille, 59150 Wattrelos;03 20 75 44 77
Carrosserie Wattrelosienne;Carrosserie;Zone Industrielle, 59150 Wattrelos;03 20 75 11 88
Garage de la Mousserie;Garage Automobile;Rue de la Mousserie, 59150 Wattrelos;03 20 75 22 55
Plomberie Wattrelosienne;Plombier;59150 Wattrelos;03 20 75 11 44
Chauffage Wattrelos Service;Chauffagiste;59150 Wattrelos;03 20 75 55 99
Nord Dépannage Plomberie;Plombier;59150 Wattrelos;06 11 22 33 44
Artisan Plombier du Laboureur;Plombier;59150 Wattrelos;06 44 55 66 77
Électricité Générale Wattrelos;Électricien;59150 Wattrelos;03 20 75 88 11
Elec Pro Wattrelos Services;Électricien;59150 Wattrelos;06 55 66 77 88
Électricité G. Duchatelet;Électricien;59150 Wattrelos;03 20 75 11 99
Coiffure Nouvelle Vague;Coiffeur;30 Rue des Poilus, 59150 Wattrelos;03 20 75 22 44
Salon Espace Style;Coiffeur;115 Rue Jean Jaurès, 59150 Wattrelos;03 20 75 77 66
Coiffure Homme Le Barbier;Coiffeur;Rue Carnot, 59150 Wattrelos;03 20 75 33 11
Salon de la Mousserie;Coiffeur;Rue de la Mousserie, 59150 Wattrelos;03 20 75 88 55
Institut Beauté Pure;Institut de Beauté;55 Rue de l'Union, 59150 Wattrelos;03 20 75 33 11
Institut Ongle Passion;Institut de Beauté;Rue Jean Jaurès, 59150 Wattrelos;03 20 75 66 88
Sérénité Bien-être;Institut de Beauté;Rue Voltaire, 59150 Wattrelos;03 20 75 99 44
Cordonnerie Wattrelos Centre;Cordonnier;90 Rue de la Mairie, 59150 Wattrelos;03 20 75 66 88
Cordonnerie Jean Bart;Cordonnier;Place de la République, 59150 Wattrelos;03 20 75 11 22
Pressing Lav'Eco;Pressing;18 Place de la République, 59150 Wattrelos;03 20 75 99 44
Pressing du Laboureur;Pressing;Rue du Laboureur, 59150 Wattrelos;03 20 75 11 77
Laverie de la Mousserie;Pressing;Rue de la Mousserie, 59150 Wattrelos;03 20 75 66 44
Friterie Wattrelosienne;Friterie;Place de la République, 59150 Wattrelos;03 20 75 44 33
La Frite d'Or Wattrelos;Friterie;Rue Carnot, 59150 Wattrelos;03 20 75 55 11
Friterie du Laboureur;Friterie;Rue du Laboureur, 59150 Wattrelos;03 20 75 22 99
Friterie de la Mousserie;Friterie;Rue de la Mousserie, 59150 Wattrelos;03 20 75 88 11
Le Café du Commerce;Bar/Café;Place de la République, 59150 Wattrelos;03 20 75 11 88
Brasserie de la Mairie;Brasserie;Place de la République, 59150 Wattrelos;03 20 75 99 55
Le Terminus;Bar/Café;Rue Jean Jaurès, 59150 Wattrelos;03 20 75 44 66
Brasserie de l'Europe;Brasserie;Rue des Poilus, 59150 Wattrelos;03 20 75 77 22
Café des Sports;Bar/Café;Rue Voltaire, 59150 Wattrelos;03 20 75 33 77
Restaurant Le Relais;Restaurant;Rue Carnot, 59150 Wattrelos;03 20 75 66 44
Menuiserie Wattrelosienne;Menuisier;59150 Wattrelos;03 20 75 77 22
L'Artisan du Bois;Menuisier;59150 Wattrelos;03 20 75 33 77
Peinture Déco Nord;Peintre;59150 Wattrelos;03 20 75 66 44
Artisan Peintre Wattrelos;Peintre;59150 Wattrelos;03 20 75 11 33
